#Frame   WS_00005[lower] WS_00005[upper]
       1               5               9
       2               4               9
       3               3              12
       4               4              10
       5               4               9
       6               4               7
       7               5              11
       8               5              13
       9               4              12
      10               4              11
      11               6              12
      12               4              11
      13               5              13
      14               4               7
      15               4              10
      16               5              10
      17               6              13
      18               4              13
      19               3               9
      20               5              11
      21               5              12
      22               5              11
      23               4              10
      24               5              11
      25               4              13
      26               4              10
      27               4              11
      28               6              15
      29               7              12
      30               7              15
      31               7              14
      32               7              16
      33               8              16
      34               7              15
      35               5              12
      36               4               9
      37               4              11
      38               4              15
      39               5              13
      40               5              14
      41               4              11
      42               6              14
      43               4              12
      44               2               9
      45               5              13
      46               5              11
      47               5              13
      48               7              15
      49               3              12
      50               4              16
      51               6              15
      52               5              10
      53               6              14
      54               4              10
      55               4              11
      56               5              15
      57               6              11
      58               3              10
      59               3              13
      60               5              16
      61               5              12
      62               4              11
      63               4              11
      64               3              13
      65               4              11
      66               4              10
      67               3              15
      68               4              10
      69               5              13
      70               4              14
      71               5              10
      72               5              12
      73               6              11
      74               4              12
      75               5              14
      76               5              13
      77               4              12
      78               5              11
      79               5              15
      80               4              12
      81               3              13
      82               5              14
      83               5              11
      84               4              11
      85               4              12
      86               4              13
      87               5              11
      88               5              14
      89               4              16
      90               3              12
      91               4               8
      92               3              10
      93               4              12
      94               5              12
      95               4              12
      96               5              12
      97               4              11
      98               3               9
      99               6              14
     100               7              11
     101               5              13
     102               5              12
     103               5              14
     104               5              13
     105               3              10
     106               6              14
     107               4              12
     108               5              10
     109               5               9
     110               5              13
     111               4              12
     112               5              13
     113               5              11
     114               6              14
     115               6              13
     116               7              13
     117               4              14
     118               5              14
     119               5              14
     120               5              13
     121               5              11
     122               5              10
     123               3               9
     124               3               9
     125               6              14
     126               5              11
     127               4              11
     128               4              12
     129               5              14
     130               5              17
     131               4              11
     132               5              13
     133               4              15
     134               4              11
     135               6              15
     136               4              13
     137               5              13
     138               4              11
     139               5              14
     140               5              16
     141               4               9
     142               6              13
     143               6              15
     144               5              13
     145               6              12
     146               6              11
     147               5              12
     148               5              14
     149               3               8
     150               7              13
     151               6              15
     152               4              14
     153               4              14
     154               5              13
     155               5              13
     156               5              11
     157               4               8
     158               5              12
     159               5              10
     160               6              14
     161               4              12
     162               4              14
     163               4              11
     164               5              14
     165               6              14
     166               5              10
     167               6              14
     168               5              13
     169               5              12
     170               4              12
     171               5              10
     172               5              10
     173               5              11
     174               5              15
     175               6              11
     176               4              12
     177               5              14
     178               5              10
     179               6              11
     180               4              11
     181               4              11
     182               3              11
     183               2              10
     184               5              11
     185               4              13
     186               4              11
     187               3              11
     188               3              10
     189               5              15
     190               5              11
     191               5              11
     192               6              11
     193               5              12
     194               5              14
     195               5              12
     196               6              13
     197               5              13
     198               5              10
     199               5              16
     200               4               9
     201               6              13
     202               5              12
     203               6              13
     204               5              13
     205               5              12
     206               5              10
     207               5              12
     208               5              11
     209               5              12
     210               8              13
     211               5              16
     212               3              13
     213               6              13
     214               3              13
     215               6              14
     216               6              14
     217               6              12
     218               5              12
     219               6              13
     220               5              12
     221               5              13
     222               5              11
     223               5              14
     224               4              11
     225               5              12
     226               5              14
     227               3              16
     228               4              13
     229               4              12
     230               5              14
     231               4              14
     232               6              14
     233               4              11
     234               7              16
     235               5              12
     236               5              14
     237               3              13
     238               6              13
     239               4              11
     240               4              11
     241               4              12
     242               5               9
     243               3              12
     244               7              15
     245               6              13
     246               4              13
     247               4              12
     248               8              16
     249               4              12
     250               4              11
     251               4               9
     252               6              12
     253               6              13
     254               4              12
     255               3               9
     256               5               9
     257               4               9
     258               4               9
     259               4               8
     260               3               8
     261               3               8
     262               4              15
     263               5              14
     264               4              11
     265               4              13
     266               6              13
     267               5              14
     268               5              10
     269               7              16
     270               5              15
     271               6              14
     272               5              11
     273               6              15
     274               5              14
     275               5              14
     276               4              13
     277               2              16
     278               7              15
     279               4              10
     280               3              13
     281               4              17
     282               4              16
     283               4              11
     284               3              10
     285               3               8
     286               6              16
     287               3               7
     288               3              11
     289               3              11
     290               6              14
     291               4              11
     292               4              10
     293               4              12
     294               5              13
     295               3              11
     296               6              12
     297               5              13
     298               5              16
     299               3              15
     300               5              13
