#Frame          test1   test1[Max]
       1       7.2853      11.9511
       2       7.4183      12.0993
       3       7.3887      12.3923
       4       7.5420      12.6288
       5       7.4962      12.1856
       6       7.4599      12.1694
       7       7.4620      12.0738
       8       7.3035      12.0210
       9       7.3892      12.4236
      10       7.5363      12.6645
      11       7.4398      12.1807
      12       7.3936      12.3243
      13       7.4306      12.3989
      14       7.5191      12.3184
      15       7.4015      12.2735
      16       7.2368      12.4561
      17       7.5168      12.8407
      18       7.5122      12.4107
      19       7.2300      12.4488
      20       7.3422      12.4537
      21       7.4761      12.4080
      22       7.3166      12.0270
      23       7.3779      12.3832
      24       7.4227      12.3351
      25       7.3544      11.8693
      26       7.4770      12.1627
      27       7.4191      12.4173
      28       7.1644      12.0631
      29       7.3263      12.3618
      30       7.4829      12.5919
      31       7.4504      12.3752
      32       7.2706      12.3029
      33       7.3147      11.8901
      34       7.2987      12.0464
      35       7.4086      11.9471
      36       7.4663      11.9984
      37       7.5703      12.2017
      38       7.4093      12.0742
      39       7.5083      12.2318
      40       7.4473      12.0546
      41       7.5383      12.2542
      42       7.3854      12.5000
      43       7.3625      12.2879
      44       7.5013      12.1369
      45       7.4007      12.2239
      46       7.2933      11.7951
      47       7.4190      12.0342
      48       7.4158      11.8803
      49       7.3799      12.0360
      50       7.4088      12.4061
      51       7.4732      12.3831
      52       7.3766      11.9716
      53       7.3289      12.1336
      54       7.7412      13.1911
      55       7.5347      12.4362
      56       7.3359      11.8411
      57       7.7098      12.5469
      58       7.3291      11.8603
      59       7.3481      11.4199
      60       7.2488      11.7393
      61       7.2249      11.9957
      62       7.3227      12.1694
      63       7.3698      12.4179
      64       7.4504      12.0799
      65       7.4436      12.7269
      66       7.3985      12.5195
      67       7.4502      12.2995
      68       7.4124      12.0190
      69       7.4907      12.6456
      70       7.3860      12.5918
      71       7.4879      12.3312
      72       7.4182      12.4776
      73       7.5160      12.1983
      74       7.4278      12.0115
      75       7.3287      12.0163
      76       7.2496      12.1255
      77       7.5347      12.5379
      78       7.3612      11.8622
