#Frame           test    test[Max]
       1      18.7231      66.2206
       2      18.7347      66.5202
       3      20.1505      81.0604
       4      20.1549      81.3093
       5      20.1001      80.5423
       6      15.5228      26.9146
       7      15.5162      27.5524
       8      15.6116      27.5409
       9      15.5284      26.8116
      10      15.5429      26.8977
      11      15.5657      27.3268
      12      15.6371      27.1845
      13      15.5565      27.5392
      14      15.5947      27.0799
      15      15.5457      27.0335
      16      15.5924      27.0508
      17      15.5668      26.9663
      18      15.5811      27.7778
      19      15.6052      27.1250
      20      18.7068      66.4332
      21      15.6376      27.1509
      22      15.5950      27.3555
      23      18.7580      66.5757
      24      15.5988      27.2230
      25      18.6911      66.8902
      26      20.2827      81.5825
      27      20.1180      81.1681
      28      20.1096      80.9104
      29      15.6678      27.1192
      30      18.6785      66.3972
      31      15.4942      26.8622
      32      20.1084      80.9538
      33      15.5820      26.7924
      34      15.6198      27.3629
      35      15.6437      27.0216
      36      15.4624      26.7160
      37      15.5728      27.0061
      38      15.5670      26.4896
      39      15.6198      27.3721
      40      15.6141      26.8702
      41      20.0504      80.4193
      42      15.5956      27.1228
      43      15.6195      26.8789
      44      20.1389      81.0899
      45      15.5831      27.0212
      46      15.5664      26.9599
      47      15.5759      26.9913
      48      15.6020      27.4639
      49      15.6068      27.4221
      50      15.5382      26.5928
      51      15.6003      27.2464
      52      15.5956      26.9013
      53      15.5489      27.3483
      54      15.5352      27.2903
      55      15.5268      26.5919
      56      19.3104      74.4221
      57      15.6217      26.7487
      58      15.6140      27.1726
      59      15.5403      26.4723
      60      15.6284      27.2484
      61      15.5786      26.8515
      62      15.6495      27.2205
      63      15.5302      27.1344
      64      15.5938      27.0121
      65      15.5541      26.9365
      66      15.5925      27.1346
      67      19.2792      73.7994
      68      15.5343      26.9335
      69      15.6179      26.8799
      70      15.6590      26.6146
      71      15.6294      27.1166
      72      15.5886      26.4514
      73      15.5895      26.5841
      74      15.6219      26.8534
      75      15.6581      27.1419
      76      15.6366      27.4152
      77      15.5612      26.7689
      78      15.6325      26.9634
      79      15.6027      27.0191
      80      15.6784      27.0095
      81      15.6099      26.7619
      82      20.1879      80.9504
      83      20.2128      81.1719
      84      15.5011      26.6553
      85      15.5815      27.1945
      86      15.5368      26.8447
      87      15.6156      27.0442
      88      18.8119      66.7514
      89      15.6377      27.1927
      90      18.7555      66.1512
      91      15.5751      27.2082
      92      15.6733      27.3241
      93      15.5127      26.9318
      94      15.5937      26.1907
      95      18.6193      65.5846
      96      15.5243      26.7559
      97      15.6450      27.2425
      98      18.6835      66.4557
      99      15.5471      27.0470
     100      15.7211      27.6554
     101      15.5816      26.7328
     102      15.6389      27.0590
     103      15.5773      26.6579
     104      15.5579      27.6299
     105      15.5571      28.2332
     106      15.6281      26.6238
     107      15.5896      26.9853
     108      18.6026      66.1725
     109      18.6450      66.1913
     110      18.6962      66.4261
     111      18.7636      66.5200
     112      18.7170      66.4065
     113      15.6575      26.9238
     114      19.2419      74.0620
     115      15.5266      27.3319
     116      15.5654      26.9774
     117      18.7189      65.7818
     118      15.6014      26.7685
     119      15.6068      26.9954
     120      18.6923      66.4634
     121      15.5716      26.9449
     122      15.5475      26.6680
     123      15.5407      26.6948
     124      15.5185      26.8378
     125      18.7322      66.4415
     126      19.3437      70.3524
     127      15.6163      26.9517
     128      18.5918      66.3254
     129      15.5332      27.0360
     130      15.5209      26.8360
     131      15.5014      26.9243
     132      18.7194      66.2845
     133      20.2463      81.7057
     134      15.5345      27.1266
     135      15.5703      27.0505
     136      18.7362      66.1974
     137      15.5174      26.9315
     138      18.7572      65.8387
     139      15.5497      27.1070
     140      18.7172      66.4580
     141      19.6301      75.9660
     142      15.5444      27.5629
     143      19.6002      76.1349
     144      15.5847      26.5338
     145      15.5443      27.0303
     146      15.4980      27.1224
     147      15.5454      27.2887
     148      18.7106      65.7710
     149      18.6948      65.7074
     150      15.5491      26.7707
     151      15.5183      26.7689
     152      15.5296      26.6889
     153      18.7340      66.0996
     154      15.5246      26.6940
     155      15.6345      26.3476
     156      15.5853      27.2155
     157      15.6143      26.8196
     158      15.6126      26.4689
     159      15.5228      27.0675
     160      15.5692      26.7827
     161      15.5804      26.8838
     162      15.4652      26.8961
     163      15.5730      27.1552
     164      15.4258      26.7435
     165      18.7252      65.4291
     166      18.7715      66.9216
     167      15.5654      26.9957
     168      18.7622      67.1306
     169      15.5226      26.6318
     170      18.7264      65.8972
     171      15.5173      27.1099
     172      18.7003      65.6285
     173      15.5429      27.5906
     174      15.5425      26.8807
     175      18.6395      66.2545
     176      15.5182      27.2727
     177      15.5800      26.7475
     178      18.6348      65.4263
     179      15.5683      26.7439
