#Frame          test1   test1[Max]
       1      36.2791      46.9177
       2      36.2509      47.0456
       3      39.2435      51.9278
       4      39.3160      52.0332
       5      38.9909      51.4365
       6       7.5389      12.1986
       7       7.5241      12.4831
       8       7.5452      12.3231
       9       7.6497      13.1123
      10       7.5375      11.9598
      11       7.5753      12.0422
      12       7.6643      12.4018
      13       7.6610      12.6905
      14       7.3928      12.7326
      15       7.4851      12.2829
      16       7.7970      13.5200
      17       7.6723      12.7954
      18       7.4860      12.8894
      19       7.6308      13.1979
      20      36.1983      47.0148
      21       7.4184      12.7004
      22       7.5628      12.1239
      23      36.2951      47.1586
      24       7.7523      13.1289
      25      36.1646      46.9559
      26      39.0981      51.8466
      27      39.0569      51.9242
      28      39.2545      51.8492
      29       7.6435      13.1859
      30      36.1759      47.0783
      31       7.4405      11.7406
      32      39.0376      51.8951
      33       7.4822      12.5300
      34       7.6400      13.5967
      35       7.6636      12.3371
      36       7.4416      12.1202
      37       7.6207      12.4979
      38       7.6673      12.2716
      39       7.5196      12.4358
      40       7.6169      12.1247
      41      39.3376      51.8602
      42       7.5283      11.9110
      43       7.5800      12.7148
      44      39.2296      51.9603
      45       7.6002      12.4018
      46       7.6868      12.4140
      47       7.6562      12.5688
      48       7.7292      13.4487
      49       7.3879      12.3153
      50       7.5388      13.0107
      51       7.4868      12.3104
      52       7.7992      12.8572
      53       7.4318      12.9459
      54       7.6043      12.1795
      55       7.7581      12.6387
      56      36.0237      49.0818
      57       7.6460      12.6575
      58       7.3399      12.7998
      59       7.6300      12.7780
      60       7.5892      13.2085
      61       7.6600      12.6378
      62       7.5311      12.6950
      63       7.6560      12.8147
      64       7.6578      12.6553
      65       7.5559      11.8956
      66       7.3728      12.7008
      67      35.8074      48.6553
      68       7.6184      12.5628
      69       7.6266      12.9761
      70       7.7043      13.4444
      71       7.8536      13.6622
      72       7.6009      13.5509
      73       7.4867      13.1521
      74       7.6036      12.0732
      75       7.6070      12.8995
      76       7.6092      12.6896
      77       7.4559      11.8382
      78       7.5543      11.8613
      79       7.7660      13.2478
      80       7.6131      13.2079
      81       7.5132      13.3978
      82      39.0877      51.5301
      83      39.2739      51.7723
      84       7.4779      13.3136
      85       7.6600      13.1306
      86       7.5509      13.2436
      87       7.8214      13.6147
      88      36.1609      46.9615
      89       7.9142      13.2232
      90      36.0362      46.7909
      91       7.6591      13.7500
      92       7.6443      12.9961
      93       7.4717      12.2030
      94       7.6131      12.1813
      95      36.2099      47.2613
      96       7.8152      13.5213
      97       7.6770      12.1635
      98      36.0702      46.9266
      99       7.7852      13.2658
     100       7.4792      12.5350
     101       7.5078      12.5261
     102       7.6216      12.7901
     103       7.5626      12.6351
     104       7.7601      12.9598
     105       7.7260      12.3540
     106       7.5923      12.8022
     107       7.5881      12.9055
     108      36.3231      47.5470
     109      34.9731      45.7107
     110      36.1521      46.8561
     111      36.1996      46.6995
     112      36.1869      46.4876
     113       7.6792      12.9579
     114      35.8164      48.7971
     115       7.5956      13.0515
     116       7.6486      12.8956
     117      34.5389      44.4290
     118       7.5166      12.1221
     119       7.5617      12.1741
     120      36.0731      46.7644
     121       7.7227      12.6344
     122       7.5959      12.6621
     123       7.4910      12.5865
     124       7.5644      12.5509
     125      36.1073      46.7315
     126      37.0057      46.3560
     127       7.5809      12.8255
     128      36.0841      47.4411
     129       7.6079      12.6048
     130       7.4910      12.6022
     131       7.8363      13.3167
     132      36.0582      46.6265
     133      39.1192      51.7153
     134       7.6946      12.4606
     135       7.6829      12.5575
     136      34.3162      44.2215
     137       7.5758      12.8665
     138      34.6051      44.3500
     139       7.3781      12.0832
     140      34.4758      44.6884
     141      42.0028      53.6586
     142       7.5014      12.2360
     143      41.8877      54.0274
     144       7.5932      12.2323
     145       7.5125      13.1042
     146       7.3965      12.1830
     147       7.5002      12.4171
     148      34.2989      44.2501
     149      34.2891      44.2825
     150       7.4911      12.7839
     151       7.8350      13.6667
     152       7.8939      13.9932
     153      34.4140      44.3900
     154       7.5341      13.0970
     155       7.8744      12.6511
     156       7.7954      13.2078
     157       7.6895      13.2390
     158       7.7748      13.6242
     159       7.3519      12.1221
     160       7.5505      12.6544
     161       7.6899      12.0431
     162       7.6908      12.0019
     163       7.7891      13.8895
     164       7.6578      12.3603
     165      34.8124      44.4484
     166      36.1978      46.6308
     167       7.6296      12.6390
     168      35.9723      46.8019
     169       7.8569      13.0836
     170      34.8268      44.7825
     171       7.8088      12.3624
     172      34.7731      44.6371
     173       7.6311      11.8457
     174       7.8921      13.1098
     175      36.3867      47.0301
     176       7.8524      12.7247
     177       7.5572      12.6356
     178      34.5168      44.7338
     179       7.9834      13.2819
     180       7.6914      13.3962
     181       7.6547      12.0779
     182       7.6359      12.4589
     183       7.7420      12.4005
     184      34.5012      44.7788
     185       7.7088      12.1987
     186       7.7727      13.4973
     187       7.6745      12.6020
     188      36.4857      47.4771
     189       7.6111      12.8568
     190      34.9715      45.1422
     191      35.0264      44.9489
     192       7.7057      12.9203
     193       7.7011      13.7906
     194      39.1065      51.3796
     195       7.7313      12.4772
     196       7.6267      12.3910
     197       7.5684      12.9159
     198       7.6552      13.0736
     199       7.6576      12.8279
     200      34.9430      45.2608
     201      37.1211      46.2843
     202       7.4406      12.4901
     203       7.6487      12.9372
     204       7.5897      12.9202
     205       7.6729      12.7340
     206      37.0245      45.7635
     207       7.6089      13.3630
     208       7.6024      13.4364
     209       7.6003      12.2018
     210       7.5967      12.8818
     211       7.5114      11.8811
     212       7.6192      12.7290
     213       7.6381      12.8342
     214       7.6326      13.4465
     215       7.7576      12.5142
     216       7.7992      12.4133
     217       7.5429      11.9790
     218       7.7298      12.9071
     219       7.6380      13.0577
     220       7.6693      12.2355
     221       7.7026      12.7772
     222       7.7740      12.6751
     223       7.5621      12.7141
     224       7.7560      13.1599
     225       7.4145      12.6473
     226       7.5524      12.0044
     227       7.5902      12.6864
     228       7.7703      13.1864
     229      35.1323      45.0106
     230       7.5651      13.0989
     231       7.6330      12.5701
     232      36.1144      46.6584
     233       7.7152      12.5965
     234       7.6410      11.9219
     235       7.6967      13.2652
     236       7.5835      12.4776
     237       7.4853      12.2720
     238       7.8260      12.8274
     239       7.8197      12.9597
     240       7.9145      12.4237
     241       7.5217      12.6430
     242       7.5459      12.8021
     243       7.9242      12.8250
     244       8.0119      13.0202
     245       7.7170      12.9939
