#Frame          test1   test1[Max]
       1      15.6922      28.6998
       2      15.6903      28.4592
       3      15.7301      27.7421
       4      15.7250      29.0618
       5      15.6672      28.9289
       6      15.6925      28.4457
       7      15.7319      27.1197
       8      15.7614      28.2903
       9      15.7517      27.9467
      10      15.7857      28.2830
      11      15.7571      27.7933
      12      15.7209      28.4862
      13      15.7328      28.0798
      14      15.7100      29.4646
      15      15.7767      27.7228
      16      15.7390      27.6968
      17      15.7051      27.9618
      18      15.7368      28.6645
      19      15.6826      28.0963
      20      15.6817      28.1972
      21      15.7457      27.3672
      22      15.7110      28.4638
      23      15.7022      27.9676
      24      15.6850      28.8748
      25      15.7532      27.7920
      26      15.7485      28.2359
      27      15.7131      28.0148
      28      15.7036      28.7486
      29      15.7061      27.5753
      30      15.7459      27.7567
      31      15.7386      28.0524
      32      15.7166      29.4024
      33      15.7331      28.9939
      34      15.6984      28.5698
      35      15.6968      27.1316
      36      15.7673      28.9956
      37      15.7809      27.9445
      38      15.6769      28.7553
      39      15.6839      27.6068
      40      15.7352      27.8054
      41      15.6904      28.7787
      42      15.7148      28.2006
      43      15.7690      29.1512
      44      15.7709      29.2844
      45      15.7755      27.7673
      46      15.7301      27.9029
      47      15.7011      29.0487
      48      15.7295      28.3714
      49      15.7587      29.0150
      50      15.6822      29.2866
      51      15.7019      29.9991
      52      15.6127      27.7825
      53      15.6340      29.8199
      54      15.7114      29.4179
      55      15.7263      27.9591
      56      15.7600      30.5379
      57      15.7914      30.4022
      58      15.6903      28.3948
      59      15.7436      28.0212
      60      15.6611      30.1556
      61      15.6292      29.5202
      62      15.6528      27.8468
      63      15.6829      27.6839
      64      15.6951      27.4841
      65      15.7928      29.0265
      66      15.7556      28.6954
      67      15.7898      27.6603
      68      15.7640      27.5125
      69      15.6552      28.1178
      70      15.6647      27.9674
      71      15.7584      27.3912
      72      15.6856      27.5302
      73      15.7345      27.6664
      74      15.6824      28.9335
      75      15.7600      28.2273
      76      15.7946      28.4351
      77      15.7493      29.7213
      78      15.7209      30.4629
      79      15.6651      30.3315
      80      15.6591      28.2178
      81      15.6772      29.6996
      82      15.6490      29.7191
      83      15.6535      28.1052
      84      15.6856      28.6806
      85      15.6686      29.0215
      86      15.6749      27.2782
      87      15.7759      30.5911
      88      15.7579      29.6087
      89      15.6683      29.1162
      90      15.6756      28.0597
      91      15.6698      27.4145
      92      15.7123      27.6074
      93      15.6426      27.5691
      94      15.6797      29.4641
      95      15.7635      29.9294
      96      15.6740      29.1375
      97      15.7421      29.5777
      98      15.7250      28.0405
      99      15.6446      29.3011
     100      15.6426      29.8827
     101      15.6494      30.2141
     102      15.6904      30.7169
     103      15.6883      29.8895
     104      15.7097      28.2141
     105      15.6904      27.5904
     106      15.6688      29.2637
     107      15.7079      27.9234
     108      15.7245      27.9352
     109      15.6720      28.1258
     110      15.6658      27.7411
     111      15.7316      27.6994
     112      15.7070      27.6224
     113      15.6767      27.7165
     114      15.6721      28.4818
     115      15.6360      28.1316
     116      15.7165      27.9362
     117      15.7282      28.3887
     118      15.7395      28.3357
     119      15.7074      28.8392
     120      15.7437      28.5507
     121      15.6818      28.7638
     122      15.7128      27.5701
     123      15.6295      27.5687
     124      15.5967      27.9651
     125      15.6796      28.5581
     126      15.6762      27.5578
     127      15.6533      27.7136
     128      15.6295      27.4623
     129      15.6834      27.5917
     130      15.6526      27.4828
     131      15.7477      29.5786
     132      15.6721      27.7967
     133      15.6590      28.3465
     134      15.6939      29.6587
     135      15.7036      28.8917
     136      15.7153      29.0755
     137      15.7355      29.0776
     138      15.5512      27.5008
     139      15.7387      29.4085
     140      15.7533      29.4905
     141      15.6760      28.5794
     142      15.7160      29.1824
     143      15.6787      27.6043
     144      15.7050      29.4724
     145      15.7145      27.7356
     146      15.6796      27.8076
     147      15.7121      27.7865
     148      15.7142      28.3236
     149      15.6364      27.4188
     150      15.7902      28.4100
     151      15.6874      28.9759
     152      15.7615      28.2684
     153      15.7738      28.4903
     154      15.7390      28.6008
     155      15.6884      28.3656
     156      15.7495      28.4126
     157      15.7053      29.2648
     158      15.7422      27.9130
     159      15.6974      29.0220
     160      15.7400      28.0962
     161      15.7151      27.9058
     162      15.7107      29.2134
     163      15.6935      29.1036
     164      15.6941      28.7728
     165      15.7105      28.0094
     166      15.7070      29.3017
     167      15.7705      27.8594
     168      15.7084      27.7467
     169      15.7476      28.3738
     170      15.7142      28.2225
     171      15.7214      27.9747
     172      15.7646      28.5176
     173      15.6725      29.2455
     174      15.7537      27.8838
     175      15.6602      28.3166
     176      15.7235      28.1385
     177      15.7001      28.3265
     178      15.6557      27.3119
     179      15.7181      27.8191
     180      15.7513      28.3306
     181      15.7318      27.9672
     182      15.7766      28.3173
     183      15.6058      28.4228
     184      15.7449      27.8205
     185      15.8060      28.4215
     186      15.7946      28.1137
     187      15.5944      27.4194
     188      15.5751      27.3041
     189      15.6477      27.8727
     190      15.6828      28.1160
     191      15.6350      27.8116
     192      15.6451      29.0308
     193      15.7104      28.3271
     194      15.7038      30.0022
     195      15.6267      27.9329
     196      15.7143      29.6670
     197      15.6441      27.9127
     198      15.6409      27.5520
     199      15.5952      27.2341
     200      15.7263      27.9770
     201      15.7156      30.0164
     202      15.6894      28.3194
     203      15.6827      28.5206
     204      15.7164      28.7392
     205      15.6685      27.0364
     206      15.6846      27.5176
     207      15.7186      27.5130
     208      15.6432      27.5971
     209      15.7732      28.3660
     210      15.6869      30.2129
     211      15.6956      30.0858
     212      15.6479      30.5617
     213      15.6998      27.8479
     214      15.7276      31.0876
     215      15.6956      28.6983
     216      15.6659      28.3267
     217      15.7201      28.5127
     218      15.6769      29.1711
     219      15.6940      28.6877
     220      15.6352      27.5691
     221      15.6976      28.5893
     222      15.7040      28.6152
     223      15.6907      28.4167
     224      15.5917      27.3354
     225      15.6469      29.1047
     226      15.6144      29.3095
     227      15.6165      28.9650
     228      15.6391      28.6243
     229      15.6701      28.7258
     230      15.6536      28.0921
     231      15.6866      28.5404
     232      15.7022      28.3778
     233      15.7181      28.7209
     234      15.7707      27.9645
     235      15.7112      28.3986
     236      15.7197      28.4022
     237      15.6862      29.6579
     238      15.7450      28.3058
     239      15.6821      28.1602
     240      15.6508      27.5309
     241      15.6408      27.1807
     242      15.6795      29.8794
     243      15.6679      29.9055
     244      15.6519      29.2532
     245      15.6951      28.8630
     246      15.6643      29.0634
     247      15.6635      29.1700
     248      15.7652      28.2906
     249      15.7132      29.3852
     250      15.6601      28.0375
     251      15.7527      27.9544
     252      15.7422      27.5167
     253      15.7132      28.2789
     254      15.6689      27.8064
     255      15.7430      27.4391
     256      15.6936      27.5204
     257      15.7319      28.0474
     258      15.6475      28.0024
     259      15.6665      27.4475
     260      15.6183      27.5293
     261      15.6906      27.8873
     262      15.6098      29.1296
     263      15.6458      29.0967
     264      15.6975      27.5941
     265      15.6371      29.3866
     266      15.6501      29.6514
     267      15.6353      30.1372
     268      15.7949      28.7218
     269      15.5872      28.3335
     270      15.5994      28.6108
     271      15.5778      28.4709
     272      15.6516      27.9110
     273      15.6497      28.6181
     274      15.5788      28.5876
     275      15.6080      28.5505
     276      15.5931      27.8153
     277      15.5281      28.2933
     278      15.6005      28.2537
     279      15.7654      27.9695
     280      15.5878      28.6148
     281      15.6056      28.2924
     282      15.6429      28.4474
     283      15.7292      27.5381
     284      15.7249      27.9501
     285      15.7492      27.5332
     286      15.5977      28.3762
     287      15.7785      27.6285
     288      15.6976      27.7361
     289      15.7074      27.5619
     290      15.7464      27.9693
     291      15.6995      27.5934
     292      15.6960      27.4531
     293      15.7760      28.0685
     294      15.7737      28.3078
     295      15.6772      28.7763
     296      15.6768      28.7656
     297      15.7615      27.5306
     298      15.8373      27.7743
     299      15.7989      27.8212
     300      15.6228      28.7343
     301      15.7769      27.3682
     302      15.6679      28.2147
     303      15.8266      27.3904
     304      15.7777      28.3566
     305      15.7549      27.4467
     306      15.7453      27.2915
     307      15.7775      28.0658
     308      15.7846      27.7197
     309      15.7987      28.6379
     310      15.7687      28.0425
     311      15.7818      28.1956
     312      15.7794      27.9695
     313      15.7658      27.8995
     314      15.8256      28.7260
     315      15.7408      28.1090
     316      15.6173      28.5976
     317      15.7342      27.7220
     318      15.6414      28.0152
     319      15.6575      28.6296
     320      15.6872      28.3335
     321      15.7404      28.0535
     322      15.8379      28.5494
     323      15.7349      28.1874
     324      15.7479      27.7737
     325      15.7991      27.9829
     326      15.7565      27.5874
     327      15.7081      29.2798
     328      15.7188      28.5603
     329      15.6680      27.9030
     330      15.6461      27.5767
     331      15.6504      27.4606
     332      15.6903      28.7562
     333      15.6725      27.9238
     334      15.6883      28.8358
     335      15.7438      27.7674
     336      15.6817      28.2229
     337      15.7009      27.9229
     338      15.6693      28.1031
     339      15.6779      27.7551
     340      15.6102      27.6452
     341      15.7522      27.6066
     342      15.7140      28.7064
     343      15.7527      27.6406
     344      15.7874      27.8888
     345      15.5539      27.3504
     346      15.7039      28.8670
     347      15.7489      28.0652
     348      15.6706      29.0418
     349      15.6883      29.4165
     350      15.7522      28.8638
     351      15.6938      29.6734
     352      15.6542      29.1699
     353      15.6670      29.2525
     354      15.6825      29.2063
     355      15.6918      29.1026
     356      15.6858      28.9995
     357      15.6889      28.5030
     358      15.6892      27.7235
     359      15.7110      27.5231
     360      15.7167      27.8404
     361      15.7239      28.7003
     362      15.7464      27.9954
     363      15.7175      28.2525
     364      15.7242      27.8785
     365      15.6753      27.4705
     366      15.6973      28.0572
     367      15.6926      27.7228
     368      15.5953      27.3052
     369      15.7748      28.2392
     370      15.6739      28.2113
     371      15.5635      27.3010
     372      15.7089      28.9429
     373      15.7256      27.8124
     374      15.6649      27.6639
     375      15.7999      28.5239
     376      15.7393      28.1975
     377      15.7478      28.7142
     378      15.7646      29.2860
     379      15.7443      30.0444
     380      15.7639      30.1421
     381      15.6553      27.3924
     382      15.6363      27.6970
     383      15.6962      28.0933
     384      15.6849      28.2160
     385      15.6980      28.6687
     386      15.6324      27.8309
     387      15.6638      29.5710
     388      15.6590      27.5296
     389      15.6272      27.5378
     390      15.6040      27.3060
     391      15.7323      29.1322
     392      15.7520      29.6334
     393      15.7505      27.3499
     394      15.6857      27.4543
