#Frame          test2   test2[Max]
       1      16.4121      36.4856
       2      16.3716      37.0960
       3      16.4412      36.8785
       4      16.3515      37.1506
       5      16.3591      36.2188
       6      16.3532      36.6035
       7      16.3864      36.5610
       8      16.3372      37.0665
       9      16.3535      36.7527
      10      16.4032      37.1337
      11      16.3886      37.1325
      12      16.3310      36.5468
      13      16.3129      36.4316
      14      16.2824      36.8875
      15      16.3741      36.4361
      16      16.4125      36.8225
      17      16.3728      36.4201
      18      16.3922      36.8800
      19      16.3282      36.4050
      20      16.3292      36.8713
      21      16.3938      36.4721
      22      16.3903      36.0808
      23      16.3634      36.1438
      24      16.4483      37.0148
      25      16.3605      36.3456
      26      16.3711      36.5497
      27      16.3419      36.3959
      28      16.3951      36.6880
      29      16.3574      36.7200
      30      16.3656      36.5113
      31      16.3346      35.9977
      32      16.3965      36.1978
      33      16.3964      36.6498
      34      16.4046      36.2743
      35      16.3811      36.4652
      36      16.4037      36.7260
      37      16.3584      36.7580
      38      16.3719      36.8752
      39      16.2925      36.3789
      40      16.3176      36.6192
      41      16.3697      36.6189
      42      16.4073      37.0729
      43      16.3134      36.6602
      44      16.3227      36.6059
      45      16.3644      36.6147
      46      16.3610      36.3937
      47      16.3625      37.0602
      48      16.3702      36.8647
      49      16.3710      36.8037
      50      16.3568      36.3857
      51      16.3896      36.3040
      52      16.3238      36.3909
      53      16.4350      37.3749
      54      16.3341      37.0250
      55      16.3526      36.8678
      56      16.4040      36.7705
      57      16.3999      37.2014
      58      16.3442      36.2947
      59      16.3395      36.5207
      60      16.3981      36.8718
      61      16.4225      36.8426
      62      16.3314      36.5138
      63      16.2296      36.1199
      64      16.3375      36.7380
      65      16.3766      36.8456
      66      16.3208      36.6579
      67      16.4153      36.6756
      68      16.3899      36.6724
      69      16.3391      37.4422
      70      16.3230      37.2457
      71      16.3893      36.6505
      72      16.3468      36.8183
      73      16.3446      36.2557
      74      16.3608      36.8660
      75      16.4037      36.4244
      76      16.4806      36.9991
      77      16.4562      36.4180
      78      16.2585      36.3034
      79      16.2544      36.4070
      80      16.3498      36.4597
      81      16.2285      36.4106
      82      16.2565      36.5678
      83      16.3440      36.7398
      84      16.3023      36.4956
      85      16.2638      36.8778
      86      16.3026      36.7122
      87      16.4484      37.0230
      88      16.3988      37.0732
      89      16.3701      36.6256
      90      16.4083      37.1719
      91      16.3147      36.2178
      92      16.3408      36.6400
      93      16.3686      36.2123
      94      16.3479      36.6668
      95      16.3792      36.8339
      96      16.2783      36.1134
      97      16.4042      36.7656
      98      16.3493      36.1225
      99      16.2918      37.0604
     100      16.3547      36.3913
     101      16.3356      36.6692
     102      16.3277      36.8291
     103      16.3120      36.0189
     104      16.3590      36.2171
     105      16.3410      36.3518
     106      16.2956      35.9959
     107      16.3447      36.4892
     108      16.3371      36.8496
     109      16.2978      36.7361
     110      16.3106      36.6213
     111      16.4146      36.2291
     112      16.3430      36.2095
     113      16.3548      36.2583
     114      16.2974      36.3907
     115      16.3275      36.2057
     116      16.2250      36.2070
     117      16.2526      36.6277
     118      16.3371      35.6531
     119      16.3668      36.5114
     120      16.3072      35.8574
     121      16.3136      36.7454
     122      16.2843      36.5715
     123      16.4323      36.6980
     124      16.4853      36.6864
     125      16.2534      36.6135
     126      16.3134      36.4902
     127      16.3767      36.3015
     128      16.2662      36.5463
     129      16.3422      36.3877
     130      16.2906      36.4601
     131      16.2935      36.2357
     132      16.3130      36.3204
     133      16.3769      36.3562
     134      16.3064      36.4193
     135      16.3323      36.1425
     136      16.3669      36.1875
     137      16.3257      36.1888
     138      16.3668      36.5227
     139      16.3650      36.5417
     140      16.3407      36.0909
     141      16.2349      35.9777
     142      16.2792      36.4185
     143      16.3127      36.0812
     144      16.3302      36.0971
     145      16.2738      36.3624
     146      16.2847      36.5872
     147      16.2780      35.6992
     148      16.4119      36.7557
     149      16.2864      36.4594
     150      16.3970      36.6645
     151      16.3088      36.3429
     152      16.3382      36.5231
     153      16.3801      37.2657
     154      16.4206      36.6787
     155      16.3588      37.0043
     156      16.3625      36.1210
     157      16.2947      36.0745
     158      16.4162      36.3699
     159      16.3013      36.1835
     160      16.3915      36.8025
     161      16.3960      37.0846
     162      16.3434      36.2388
     163      16.3020      36.2197
     164      16.2633      35.8830
     165      16.2692      36.1176
     166      16.2462      36.9485
     167      16.4033      36.8852
     168      16.3178      35.6192
     169      16.3359      35.8931
     170      16.3878      36.3589
     171      16.3168      35.9302
     172      16.2991      35.6335
     173      16.3071      36.6131
     174      16.3317      37.0062
     175      16.2088      36.2291
     176      16.3991      36.5996
     177      16.3889      36.3297
     178      16.3142      36.0880
     179      16.3888      36.3136
     180      16.3691      36.0240
     181      16.3213      36.7548
     182      16.3199      36.6544
     183      16.3155      36.5998
     184      16.3983      36.6467
     185      16.3665      36.7141
     186      16.4564      36.8630
     187      16.2666      36.3858
     188      16.3047      36.6535
     189      16.2976      36.4679
     190      16.3185      36.2597
     191      16.3824      36.6402
