#Frame          test3   test3[Max]
       1      15.5436      26.6973
       2      15.5552      26.9159
       3      15.5491      26.5972
       4      15.5673      26.6629
       5      15.5593      26.7305
       6      15.5706      26.7815
       7      15.5764      26.8884
       8      15.5445      27.0532
       9      15.5297      26.9233
      10      15.5524      26.9565
      11      15.5894      27.0227
      12      15.5105      26.5362
      13      15.5047      26.6512
      14      15.5207      26.4292
      15      15.6084      26.9511
      16      15.5849      26.7204
      17      15.5250      26.7124
      18      15.5683      26.5832
      19      15.5313      26.9111
      20      15.5241      26.9198
      21      15.5880      26.6492
      22      15.5504      26.8648
      23      15.5176      26.5109
      24      15.5735      26.9644
      25      15.5505      26.4990
      26      15.5497      26.4309
      27      15.5229      26.6581
      28      15.5890      26.7908
      29      15.5896      26.8239
      30      15.5296      26.6817
      31      15.5810      26.8122
      32      15.5895      26.7247
      33      15.5568      26.6700
      34      15.5628      26.8602
      35      15.5419      27.1010
      36      15.5246      26.9591
      37      15.5735      26.8346
      38      15.4958      26.9330
      39      15.5042      26.8256
      40      15.5212      26.9763
      41      15.5697      27.0962
      42      15.4970      26.7454
      43      15.5783      26.8158
      44      15.5603      26.8616
      45      15.5682      26.7479
      46      15.5652      26.7648
      47      15.5412      26.4974
      48      15.5688      26.3931
      49      15.5818      27.0922
      50      15.5697      26.7935
      51      15.5394      26.8881
      52      15.5945      26.5939
      53      15.5590      26.9119
      54      15.5240      26.9313
      55      15.5198      26.6367
      56      15.5339      26.8286
      57      15.5521      26.9721
      58      15.6008      26.8833
      59      15.5667      26.6142
      60      15.5591      26.8044
      61      15.5406      26.5052
      62      15.5745      26.9236
      63      15.6218      26.8085
      64      15.4942      26.9393
      65      15.5851      27.5870
      66      15.5738      26.9799
      67      15.5681      26.6107
      68      15.5345      26.7668
      69      15.5373      27.1264
      70      15.5476      26.9834
      71      15.5395      27.0611
      72      15.5328      27.0304
      73      15.5710      27.1633
      74      15.5167      26.6881
      75      15.5933      26.7616
      76      15.5707      26.7727
      77      15.5249      27.0953
      78      15.5361      26.8808
      79      15.5794      26.7692
      80      15.5639      26.8299
      81      15.5739      27.0711
      82      15.5689      27.0938
      83      15.5845      26.6548
      84      15.5545      26.6484
      85      15.5466      26.6590
      86      15.5250      26.6863
      87      15.5450      26.9579
      88      15.5612      27.0512
      89      15.5642      26.9850
      90      15.5981      27.0955
      91      15.5646      26.7203
      92      15.5858      26.7082
      93      15.5721      26.7774
      94      15.5682      26.6451
      95      15.5387      27.1745
      96      15.5864      26.7715
      97      15.5359      26.7079
      98      15.5947      26.7538
      99      15.5679      26.8811
     100      15.5613      27.2938
     101      15.5917      27.0096
     102      15.5467      26.8540
     103      15.5743      26.8724
     104      15.4868      26.5412
     105      15.5394      26.7441
     106      15.5884      26.6851
     107      15.4813      26.7219
     108      15.5389      26.8623
     109      15.5210      27.0611
     110      15.5929      26.9104
     111      15.4683      27.0615
     112      15.5772      27.0848
     113      15.5733      27.2514
     114      15.5813      26.9493
     115      15.5670      26.7728
     116      15.5731      26.9970
     117      15.6040      27.1901
     118      15.5653      27.1591
     119      15.5449      26.9371
     120      15.5828      27.1254
     121      15.5425      27.0325
     122      15.5911      27.1374
     123      15.5353      26.8141
     124      15.5779      26.9777
     125      15.5454      26.7749
     126      15.5471      27.0206
     127      15.5250      26.6975
     128      15.5488      27.0199
     129      15.5476      26.6691
     130      15.6106      27.3736
     131      15.5478      26.9030
     132      15.5576      26.8820
     133      15.5809      27.1579
     134      15.5013      26.7476
     135      15.5747      27.0739
     136      15.5190      26.9080
     137      15.5595      26.8645
     138      15.5943      27.1618
     139      15.5400      26.8187
     140      15.5850      27.0450
     141      15.5468      27.0631
     142      15.5379      26.7664
     143      15.5288      26.7011
     144      15.5385      26.4579
     145      15.4907      26.8941
     146      15.5274      26.9851
     147      15.5385      26.9480
     148      15.5618      26.9561
     149      15.5435      27.1081
     150      15.5359      26.8441
     151      15.5143      26.9703
     152      15.5583      26.5786
     153      15.5168      26.8722
     154      15.5495      26.7031
     155      15.4934      26.5659
     156      15.5417      26.8926
     157      15.4887      26.9049
     158      15.5443      26.9017
     159      15.4843      27.0523
     160      15.5898      26.8810
     161      15.5565      26.6479
     162      15.5394      26.9046
     163      15.5284      26.7635
     164      15.5494      26.8790
     165      15.5406      26.9352
     166      15.5991      26.8539
     167      15.5721      26.8000
     168      15.5258      26.7642
     169      15.4948      26.9362
     170      15.5722      27.1015
     171      15.4655      26.5571
     172      15.5059      26.5295
     173      15.6299      26.9568
     174      15.5298      27.0454
     175      15.5061      26.5089
     176      15.5535      26.7226
     177      15.5579      26.8554
     178      15.5580      26.8991
     179      15.5373      27.1949
     180      15.5743      27.4521
     181      15.5769      26.7834
     182      15.5386      27.1218
     183      15.5819      26.6678
     184      15.5144      26.8015
     185      15.4949      26.6017
     186      15.4975      26.7679
     187      15.5701      26.4764
     188      15.5713      26.9666
     189      15.5556      26.8103
     190      15.4638      26.4816
     191      15.5684      26.9121
     192      15.5189      26.8531
     193      15.5107      26.8161
     194      15.5467      26.7239
     195      15.5845      26.6554
     196      15.5360      26.8337
     197      15.5817      26.8977
     198      15.6227      27.0110
     199      15.5714      26.9676
     200      15.4893      26.6100
     201      15.5695      27.0134
     202      15.5291      26.7758
     203      15.4885      27.2563
     204      15.4787      27.1170
     205      15.4495      26.9786
     206      15.5338      26.8983
     207      15.5006      26.9899
     208      15.5455      26.6649
     209      15.5430      26.8773
     210      15.5207      27.0105
     211      15.5566      26.8620
     212      15.5534      27.2031
     213      15.4761      26.6851
     214      15.5233      26.9175
     215      15.4309      26.4193
     216      15.5040      26.7416
     217      15.4809      26.8591
     218      15.4403      27.1500
     219      15.4407      26.8137
     220      15.5621      26.7011
     221      15.4781      26.8128
     222      15.5167      26.5511
     223      15.5774      26.6867
     224      15.5177      27.0670
     225      15.5404      26.6631
     226      15.5759      26.8236
     227      15.5680      26.7720
     228      15.4359      26.4802
     229      15.4293      26.3973
     230      15.4150      26.8949
     231      15.5292      26.6791
     232      15.5855      26.8259
     233      15.5349      26.7378
     234      15.5226      26.7708
     235      15.5656      26.8423
     236      15.5431      26.8839
     237      15.5304      26.8534
     238      15.5665      27.0435
     239      15.4393      26.8476
     240      15.6289      26.9089
     241      15.5829      27.0678
     242      15.5359      26.7385
     243      15.5295      27.1157
     244      15.5177      26.9128
     245      15.5161      26.7457
     246      15.4586      26.6884
     247      15.5493      26.6301
     248      15.5321      26.4746
     249      15.6059      27.0561
     250      15.5467      26.7020
     251      15.5055      26.6810
     252      15.5520      26.5484
