#Frame          test4   test4[Max]
       1      15.4299      26.0662
       2      15.4219      26.0544
       3      15.4225      25.9618
       4      15.4458      25.6334
       5      15.4732      25.5460
       6      15.4296      25.2493
       7      15.4105      25.7832
       8      15.3858      25.6688
       9      15.4347      25.7888
      10      15.4711      25.7754
      11      15.5047      26.0708
      12      15.4442      26.0086
      13      15.3829      25.4985
      14      15.4016      25.3720
      15      15.4556      25.7456
      16      15.4307      25.7898
      17      15.4201      26.1959
      18      15.4526      25.9942
      19      15.4887      25.7520
      20      15.4001      26.0331
      21      15.4430      26.1366
      22      15.4418      26.2930
      23      15.3991      26.3213
      24      15.4281      26.5763
      25      15.4328      26.4205
      26      15.4834      26.2270
      27      15.4681      25.9267
      28      15.4844      26.2594
      29      15.4422      26.5163
      30      15.4381      26.3339
      31      15.4635      26.3078
      32      15.4340      26.4535
      33      15.4983      26.6103
      34      15.5231      26.3743
      35      15.4460      26.2713
      36      15.4011      25.4806
      37      15.4001      25.1589
      38      15.4759      25.5857
      39      15.4199      26.0985
      40      15.4421      25.8453
      41      15.3687      25.3736
      42      15.4852      26.4490
      43      15.4173      25.7039
      44      15.4508      25.9141
      45      15.4627      25.5066
      46      15.4345      25.1940
      47      15.4514      26.4047
      48      15.4491      26.1201
      49      15.4310      25.3522
      50      15.5064      26.2757
      51      15.4149      26.1786
      52      15.4367      25.6683
      53      15.4090      26.0976
      54      15.4598      26.2823
      55      15.4737      25.5918
      56      15.4170      26.1106
      57      15.4753      26.0903
      58      15.4763      26.5315
      59      15.5262      25.9339
      60      15.4849      26.5275
      61      15.4715      26.2413
      62      15.4883      25.6248
      63      15.4443      25.8320
      64      15.4165      25.6786
      65      15.4671      26.0931
      66      15.4534      26.2578
      67      15.4471      25.7453
      68      15.4998      26.3925
      69      15.4730      25.9908
      70      15.4336      25.9424
      71      15.5246      26.1193
      72      15.3801      25.8893
      73      15.4050      26.2920
      74      15.3656      26.3131
      75      15.5114      26.0741
      76      15.5206      26.2391
      77      15.5044      26.3445
      78      15.5204      26.4825
      79      15.4714      26.4868
      80      15.3809      26.2264
      81      15.5405      26.9774
      82      15.5586      26.2165
      83      15.3988      26.5483
      84      15.3911      26.5953
      85      15.4207      26.2826
      86      15.4059      25.6694
      87      15.4931      26.0792
      88      15.4779      25.6859
      89      15.4377      26.3407
      90      15.4602      25.4586
      91      15.4698      25.8628
      92      15.4555      25.7497
      93      15.4619      25.9114
      94      15.4384      26.2431
      95      15.4549      25.5389
      96      15.4894      26.2518
      97      15.4496      26.2105
      98      15.4339      25.7155
      99      15.4615      26.0733
     100      15.4422      25.9111
     101      15.3757      25.6646
     102      15.3959      25.3739
     103      15.4071      25.7942
     104      15.4893      26.0740
     105      15.4910      26.0489
     106      15.4172      25.9816
     107      15.4117      25.7143
     108      15.4446      25.8759
     109      15.4721      25.8417
     110      15.4908      25.7760
     111      15.4840      25.9082
     112      15.4387      25.6653
     113      15.4464      25.5013
     114      15.3970      25.9170
     115      15.3968      26.3746
     116      15.4293      25.6079
     117      15.4524      25.4973
     118      15.4159      25.7533
     119      15.4294      26.2726
     120      15.4057      25.5955
     121      15.4690      26.4860
     122      15.4795      25.8061
     123      15.4170      25.8296
     124      15.4432      25.9409
     125      15.4575      26.0283
     126      15.4325      25.6847
     127      15.4358      25.4733
     128      15.4390      25.3265
     129      15.3805      25.5153
     130      15.4592      25.7827
     131      15.4338      26.2961
     132      15.4091      25.7705
     133      15.4280      26.2544
     134      15.5794      26.8372
     135      15.5369      26.3751
     136      15.5402      26.0918
     137      15.4844      26.3322
     138      15.4516      25.9151
     139      15.5422      25.9794
     140      15.4852      26.5259
     141      15.4326      26.1854
     142      15.5273      26.5215
     143      15.5179      25.9533
     144      15.4690      26.0594
     145      15.5098      25.7822
     146      15.5379      25.9590
     147      15.5427      25.9097
     148      15.4115      25.6268
     149      15.3865      25.5078
     150      15.3764      25.8291
     151      15.5102      26.4077
     152      15.4548      26.1776
     153      15.4757      26.1915
     154      15.3772      25.7068
     155      15.4943      26.1193
     156      15.4306      25.7747
     157      15.3980      25.7377
     158      15.3989      25.9270
     159      15.4162      25.6335
     160      15.4077      26.0820
     161      15.3990      25.9097
     162      15.4406      25.8998
     163      15.4523      25.4480
     164      15.4638      25.1874
     165      15.4514      25.5096
     166      15.4523      26.0706
     167      15.4576      25.9517
     168      15.4618      26.0429
     169      15.4352      25.5682
     170      15.4460      25.5568
     171      15.4520      26.0309
     172      15.4538      25.8067
     173      15.3728      25.6047
     174      15.4608      25.4864
     175      15.4299      25.7907
     176      15.4873      25.6879
     177      15.4465      25.2350
     178      15.4302      25.7885
     179      15.4630      25.4338
     180      15.4472      25.6245
     181      15.4358      25.9898
     182      15.4125      25.6588
     183      15.4105      26.1522
     184      15.4462      26.0898
     185      15.4297      25.9557
     186      15.4485      25.6413
     187      15.3796      25.8362
     188      15.4028      26.2902
     189      15.3994      26.4277
     190      15.4175      25.9701
     191      15.4576      26.3599
     192      15.4529      26.2717
     193      15.4139      25.5762
     194      15.4246      26.3344
     195      15.3674      25.6827
     196      15.4495      25.9314
     197      15.4040      25.5351
     198      15.4121      25.6258
     199      15.3919      25.3631
     200      15.4214      26.9231
     201      15.4221      25.7309
     202      15.4979      25.5134
     203      15.4566      25.5133
     204      15.4099      25.7861
     205      15.4228      25.5965
     206      15.4421      25.7454
     207      15.4887      25.7386
     208      15.4544      25.8939
     209      15.4810      25.8955
     210      15.5052      26.9860
     211      15.4978      26.0870
     212      15.4337      26.1383
     213      15.4558      25.4388
     214      15.4497      25.9752
     215      15.4382      25.5392
     216      15.4328      25.4168
     217      15.4397      25.3430
     218      15.4532      25.5192
     219      15.4580      25.7678
     220      15.3663      25.6253
     221      15.4605      26.2788
     222      15.4643      26.0909
     223      15.4104      25.7100
     224      15.4091      25.9947
     225      15.4205      25.6854
     226      15.4539      26.0928
     227      15.4318      25.7742
     228      15.4764      25.9929
     229      15.4374      25.4090
     230      15.4117      25.5527
     231      15.4181      25.7106
     232      15.4537      26.1272
     233      15.4488      26.1360
     234      15.3464      25.2442
     235      15.3842      25.3487
     236      15.3775      25.5125
     237      15.4873      26.3522
     238      15.3730      25.5595
     239      15.4487      25.7787
     240      15.4215      25.6672
     241      15.3524      25.1909
     242      15.4246      26.0908
     243      15.5024      25.8354
     244      15.5104      25.9870
     245      15.4508      25.9839
     246      15.4692      26.1050
     247      15.4892      26.0264
     248      15.4059      25.4341
     249      15.5424      26.2474
     250      15.4521      25.8912
     251      15.4745      25.9594
     252      15.4058      25.4063
     253      15.4417      25.5699
     254      15.3663      25.8377
     255      15.4694      26.0592
     256      15.4234      26.0095
     257      15.5106      26.2462
     258      15.4897      26.7476
     259      15.4593      25.9664
     260      15.4876      26.2123
     261      15.4836      26.2435
     262      15.5133      26.0209
     263      15.4896      26.2502
     264      15.4618      26.0046
     265      15.4770      26.9230
     266      15.4736      26.9187
     267      15.4943      27.3244
     268      15.4202      25.6600
     269      15.4673      26.4267
     270      15.4555      26.2445
     271      15.4929      27.0850
     272      15.4056      25.7170
     273      15.4274      26.5103
     274      15.5041      26.4823
     275      15.4428      26.4940
     276      15.4823      26.6091
     277      15.4551      25.9505
     278      15.3920      25.8806
     279      15.4973      26.2506
     280      15.4721      25.5711
     281      15.4799      25.4695
     282      15.4696      25.7971
     283      15.4164      26.4471
     284      15.4614      26.5376
     285      15.4014      26.2572
     286      15.4337      25.7460
     287      15.3644      25.9667
     288      15.3444      26.2159
     289      15.3680      26.2432
     290      15.4078      26.4859
     291      15.3949      26.5316
     292      15.4145      26.3370
     293      15.3790      26.2198
     294      15.3810      26.3945
     295      15.4486      25.6817
     296      15.4513      25.6816
     297      15.4002      26.3161
     298      15.3991      26.3022
     299      15.4245      25.9835
     300      15.3743      25.6457
     301      15.4106      26.1203
     302      15.4035      25.3929
     303      15.4535      26.2778
     304      15.3620      25.2941
     305      15.4300      26.5251
     306      15.4410      26.2668
     307      15.3677      25.4411
     308      15.3633      25.8198
     309      15.3295      25.5714
     310      15.3703      25.6788
     311      15.3800      25.4443
     312      15.4236      26.0305
     313      15.3904      25.9522
     314      15.3570      25.8104
     315      15.4275      25.8681
     316      15.4686      26.0909
     317      15.3901      26.0615
     318      15.5174      25.5703
     319      15.5889      26.4348
     320      15.4588      25.7255
     321      15.4052      26.2303
     322      15.4539      26.4749
     323      15.3794      25.7835
     324      15.4365      25.9971
     325      15.4036      26.1196
     326      15.5006      26.4676
     327      15.4397      26.0242
     328      15.4852      26.4172
     329      15.4547      25.8685
     330      15.3804      25.4628
     331      15.4308      25.6260
     332      15.4381      25.8029
     333      15.3604      25.8224
     334      15.3624      26.2060
     335      15.4498      26.0835
     336      15.3815      25.3992
     337      15.3731      25.3433
     338      15.3752      25.8936
     339      15.3808      25.4166
     340      15.3994      25.9404
     341      15.4247      25.9370
     342      15.4090      25.4394
     343      15.4525      26.4417
     344      15.5034      26.6038
     345      15.3817      26.0726
     346      15.3892      25.4704
     347      15.4388      26.2452
     348      15.3856      25.2289
     349      15.3461      25.2119
     350      15.3763      25.9543
     351      15.3721      25.2871
     352      15.3847      25.6650
     353      15.4028      25.5260
     354      15.4327      25.5356
     355      15.4180      25.8647
     356      15.4173      25.8610
     357      15.4081      25.6566
     358      15.3997      25.8399
     359      15.3808      25.8306
     360      15.4077      25.9242
     361      15.3771      26.3112
     362      15.4158      25.8241
     363      15.4534      25.9421
     364      15.3573      25.8290
     365      15.4025      25.9193
     366      15.4284      26.0940
     367      15.4413      25.8506
     368      15.3624      26.3622
     369      15.4203      26.2794
     370      15.4057      26.1319
     371      15.3811      26.2411
     372      15.4424      25.6161
     373      15.4180      25.9743
     374      15.4534      25.5978
     375      15.4510      26.3124
     376      15.3593      25.5779
     377      15.3870      25.8493
     378      15.4684      26.4311
     379      15.4857      26.6408
     380      15.4208      26.7342
     381      15.4227      25.8235
     382      15.4244      25.7772
     383      15.4662      26.0806
     384      15.4121      25.5776
     385      15.4508      25.9567
     386      15.3743      25.8688
     387      15.4267      26.5228
     388      15.4259      25.9034
     389      15.4279      25.7831
     390      15.3913      26.4001
     391      15.4590      26.1722
     392      15.5073      25.9943
     393      15.3726      25.9272
     394      15.3929      25.5854
     395      15.3978      25.7715
     396      15.4525      26.7756
     397      15.3769      25.6962
     398      15.3478      25.5649
     399      15.3893      25.5266
     400      15.4263      26.2016
     401      15.4162      26.3578
     402      15.4694      25.9340
     403      15.3956      25.6541
     404      15.4688      25.9954
     405      15.4069      25.9304
     406      15.3877      25.9833
     407      15.4440      25.8633
     408      15.4261      25.4832
     409      15.4490      26.0339
     410      15.4638      25.8061
     411      15.4448      26.5200
     412      15.4631      26.6333
     413      15.3765      26.2018
     414      15.4773      26.4030
     415      15.3872      26.4505
     416      15.3879      26.1156
     417      15.4334      25.9276
     418      15.4090      25.8453
     419      15.4322      26.2159
     420      15.4092      26.2367
     421      15.4178      26.1461
     422      15.3788      26.0519
     423      15.3625      25.7219
     424      15.3960      25.9691
     425      15.4527      25.7489
     426      15.4098      25.6731
     427      15.4710      25.5282
     428      15.3835      25.4963
     429      15.4309      25.6254
     430      15.4347      26.0016
     431      15.4006      25.8430
     432      15.3856      25.9548
     433      15.4322      26.3368
     434      15.4005      26.5149
     435      15.4108      26.4951
     436      15.4577      26.1395
     437      15.3942      26.1364
     438      15.4404      25.9923
     439      15.4131      26.0298
     440      15.3649      26.4181
     441      15.3438      26.0377
     442      15.3527      25.8064
     443      15.3983      25.6590
     444      15.4626      26.4712
     445      15.4348      26.1986
     446      15.4126      26.0951
     447      15.3930      25.9661
     448      15.3566      26.0079
     449      15.3728      25.6809
     450      15.3970      25.3569
     451      15.4378      26.0162
     452      15.3957      25.9031
     453      15.3348      25.6236
     454      15.4322      26.0119
     455      15.4433      25.9150
     456      15.4745      25.3330
     457      15.3974      25.7843
     458      15.4230      25.8271
     459      15.4690      26.0127
     460      15.4131      25.6901
     461      15.4011      26.1487
     462      15.3990      25.7196
     463      15.4349      25.8354
     464      15.3870      26.1037
     465      15.4426      25.9600
     466      15.4874      25.9160
     467      15.4773      25.5875
     468      15.4150      26.1757
     469      15.4235      26.2004
     470      15.4619      25.9212
     471      15.3892      26.0407
     472      15.4091      26.0087
     473      15.3461      26.1339
     474      15.4225      25.6697
     475      15.4431      25.7662
     476      15.5020      26.3443
     477      15.4393      26.0262
     478      15.5386      26.3107
     479      15.4434      26.4978
     480      15.3959      26.5067
     481      15.4950      26.1766
     482      15.5574      26.4724
     483      15.4790      26.0965
     484      15.5263      26.4545
     485      15.4786      26.5312
     486      15.5314      26.8836
     487      15.4049      26.2850
     488      15.4662      26.5842
     489      15.4681      26.3717
     490      15.4691      26.7223
     491      15.4042      26.2683
     492      15.3926      26.4819
     493      15.3714      25.9973
     494      15.4458      26.8141
     495      15.4216      26.1997
     496      15.4131      26.2963
     497      15.4774      26.5137
     498      15.3708      26.2559
     499      15.4360      26.3691
     500      15.4438      26.0468
     501      15.3789      26.0291
     502      15.4420      26.3689
     503      15.4270      26.4625
     504      15.3668      25.4116
     505      15.4203      26.0831
     506      15.4623      26.3058
     507      15.4471      26.5402
     508      15.3568      25.8116
     509      15.4348      26.2414
     510      15.4348      26.3002
     511      15.4854      26.5275
     512      15.4417      26.2243
     513      15.3757      25.8119
     514      15.3548      26.3732
     515      15.3538      26.2107
     516      15.4557      26.0175
     517      15.4431      26.2016
     518      15.4458      25.8567
     519      15.4131      26.3713
     520      15.4682      26.3727
     521      15.4464      26.2464
     522      15.4911      26.7473
     523      15.4105      26.3342
     524      15.3793      25.9495
     525      15.4112      26.6390
     526      15.4272      25.9689
     527      15.4107      26.0323
     528      15.4237      26.2665
     529      15.4787      26.2956
     530      15.4714      26.6724
     531      15.4750      26.5290
     532      15.5224      26.3105
     533      15.4610      26.4205
     534      15.4713      26.2232
     535      15.4217      26.2750
     536      15.4029      26.2761
     537      15.4391      25.8713
     538      15.4911      26.4948
     539      15.4644      26.5396
     540      15.4930      26.2968
     541      15.5096      26.3176
     542      15.4361      26.5784
     543      15.4800      26.2268
     544      15.4052      25.8957
     545      15.4857      26.6342
     546      15.4688      27.0288
     547      15.4458      25.9924
     548      15.4300      26.2549
     549      15.4708      26.7901
     550      15.4137      26.3723
     551      15.4400      26.0538
     552      15.4367      26.3256
     553      15.4549      26.1465
     554      15.4082      26.0338
     555      15.4426      26.3789
     556      15.4516      26.9370
     557      15.4107      26.7518
     558      15.4369      26.6128
     559      15.4134      26.5637
     560      15.4294      26.3958
     561      15.3952      26.3399
     562      15.3797      26.2509
     563      15.4265      26.2019
     564      15.4449      26.1897
     565      15.4761      26.6966
     566      15.4263      26.5115
     567      15.4239      26.2878
     568      15.3532      26.2789
     569      15.4201      26.2826
     570      15.3866      26.0428
     571      15.4154      26.4897
     572      15.3979      26.3557
     573      15.4474      26.1241
     574      15.4323      26.6365
     575      15.4298      26.1792
     576      15.3890      26.1818
     577      15.3984      26.2699
     578      15.4690      26.1974
     579      15.4815      26.6066
     580      15.4937      26.4380
     581      15.4543      26.4301
     582      15.4633      26.5739
     583      15.4855      26.6779
     584      15.4555      26.2611
     585      15.4054      26.3646
     586      15.4517      26.3824
     587      15.4390      26.6426
     588      15.4274      26.4882
     589      15.4515      26.3337
     590      15.4064      26.2231
     591      15.4760      26.8051
     592      15.4013      26.7135
     593      15.3946      26.3557
     594      15.4833      26.7010
     595      15.3733      26.1076
     596      15.4760      26.0659
     597      15.5077      26.5760
     598      15.4670      26.3680
     599      15.4517      26.5841
     600      15.4256      26.6005
     601      15.4365      25.9772
     602      15.3796      26.0735
     603      15.4019      26.0103
     604      15.4267      26.4194
     605      15.4249      25.6730
     606      15.4744      25.9485
     607      15.4873      26.0639
     608      15.4574      26.4642
     609      15.4621      25.8875
     610      15.4216      26.3053
     611      15.4274      26.5624
     612      15.4332      26.5899
     613      15.3838      26.3645
     614      15.3631      26.2853
     615      15.4293      26.3537
     616      15.3536      26.1799
     617      15.3228      26.3615
     618      15.4669      26.0661
     619      15.3762      26.0347
     620      15.3946      26.7304
     621      15.3576      26.3603
     622      15.4221      25.8876
     623      15.4062      26.1537
     624      15.4317      26.4129
     625      15.4695      26.2488
     626      15.4939      26.3227
     627      15.4635      26.5309
     628      15.4561      26.0400
     629      15.3768      26.9498
     630      15.3693      26.9410
     631      15.4297      26.8703
     632      15.4339      26.2997
     633      15.4333      26.6366
     634      15.4937      26.2599
     635      15.4428      26.6913
     636      15.4379      25.6506
     637      15.4525      26.7566
     638      15.4297      26.3677
     639      15.4427      26.5349
     640      15.4186      25.9784
     641      15.3985      26.2156
     642      15.3943      26.7434
     643      15.3657      26.3116
     644      15.4332      26.7435
     645      15.4670      26.4272
     646      15.3638      25.7376
     647      15.4014      26.1824
     648      15.4205      26.6495
     649      15.4002      26.4925
     650      15.4682      26.1295
     651      15.3483      26.3483
     652      15.4446      25.9954
     653      15.4979      26.8290
     654      15.4360      26.3007
     655      15.3804      26.3989
     656      15.3826      26.8305
     657      15.3878      26.3430
     658      15.3734      26.3131
     659      15.3805      25.5639
     660      15.4427      26.5632
     661      15.4044      26.2788
     662      15.3537      26.3221
     663      15.3460      26.0960
     664      15.4159      25.8740
     665      15.3959      25.6629
     666      15.3922      26.2950
     667      15.4441      26.5434
     668      15.4771      26.2100
     669      15.4184      25.6675
     670      15.4277      26.0479
     671      15.3829      26.2514
     672      15.4142      25.8934
     673      15.3958      26.2674
     674      15.4023      26.3737
     675      15.4100      26.2542
     676      15.4214      25.9276
     677      15.4778      26.3910
     678      15.4146      25.7618
     679      15.4174      26.1104
     680      15.3998      25.8959
     681      15.3933      26.3556
     682      15.3198      26.0849
     683      15.4652      26.4512
     684      15.3524      25.6577
     685      15.4245      26.2292
     686      15.3756      25.8475
     687      15.3968      25.4457
     688      15.3486      26.3577
     689      15.4523      25.4477
     690      15.4223      25.9049
     691      15.4126      26.4991
     692      15.4087      26.5240
     693      15.3543      26.2672
     694      15.3527      26.4307
     695      15.3142      26.2768
     696      15.3277      26.2478
     697      15.3696      26.2613
     698      15.4226      25.7088
     699      15.3742      26.6304
     700      15.3159      26.1497
     701      15.3767      26.0418
     702      15.3781      26.6255
     703      15.3552      25.2240
     704      15.3846      26.7250
     705      15.4179      26.5416
     706      15.4141      26.4161
     707      15.4552      26.5145
     708      15.3906      26.4549
     709      15.4635      26.2431
     710      15.4408      26.5361
     711      15.4149      25.9335
     712      15.4013      26.2276
     713      15.4240      26.4180
     714      15.3708      25.6802
     715      15.3470      26.2708
     716      15.4187      25.8242
     717      15.3803      26.5094
     718      15.3972      25.9550
     719      15.3488      25.9381
     720      15.3932      26.0869
     721      15.3502      25.8768
     722      15.4529      26.9431
     723      15.3824      25.8796
     724      15.4497      26.0780
     725      15.4112      25.6186
     726      15.4032      25.4572
     727      15.3456      26.4339
     728      15.3595      26.4839
     729      15.4084      26.2420
     730      15.3481      25.9056
     731      15.3949      25.6800
     732      15.3529      25.6120
     733      15.3557      26.2299
     734      15.4764      26.4871
     735      15.3974      25.9083
     736      15.4099      26.0410
     737      15.3675      26.2768
     738      15.3678      25.9787
     739      15.4083      25.6133
     740      15.4163      26.0382
     741      15.3848      25.8899
     742      15.3546      25.8149
     743      15.4271      26.4723
     744      15.4113      26.2637
     745      15.4241      26.1256
     746      15.4129      25.5193
     747      15.3841      25.8841
     748      15.3904      26.0478
     749      15.4715      26.2914
     750      15.4175      26.2337
     751      15.4251      25.7325
     752      15.4237      25.7245
     753      15.4141      26.6082
     754      15.4366      26.1797
     755      15.4137      26.1656
     756      15.4792      25.8773
     757      15.4322      26.0666
     758      15.4163      26.3337
     759      15.4019      26.1365
     760      15.4282      26.5687
     761      15.4457      25.8580
     762      15.4317      25.8363
     763      15.4457      26.7735
     764      15.3996      26.0947
     765      15.4302      26.2830
     766      15.4230      25.8949
     767      15.4620      26.3681
     768      15.4309      26.1931
     769      15.4278      26.3494
     770      15.4641      26.0593
     771      15.4388      26.2267
     772      15.4429      26.2239
     773      15.4465      26.3807
     774      15.4268      26.3964
     775      15.4390      26.7274
     776      15.4899      26.2778
     777      15.4370      26.3443
     778      15.3802      26.3903
     779      15.3932      26.3997
     780      15.4147      26.2816
     781      15.4236      26.1284
     782      15.3989      26.4268
     783      15.4122      26.4836
     784      15.4644      26.4862
     785      15.4014      26.8513
     786      15.3941      26.6624
     787      15.4874      26.4936
     788      15.4217      26.5332
     789      15.4256      26.5456
     790      15.4284      26.2694
     791      15.3920      26.4731
     792      15.4227      26.0910
     793      15.3992      26.4395
     794      15.3831      25.9843
     795      15.3607      26.2580
     796      15.3863      26.2453
     797      15.4610      26.4695
     798      15.3344      26.1174
     799      15.3680      25.8275
     800      15.4864      26.5725
     801      15.3326      25.9771
     802      15.5108      26.4892
     803      15.5139      26.3121
     804      15.4878      26.0978
     805      15.4780      26.6142
     806      15.3151      26.2842
     807      15.3275      26.4137
     808      15.4650      26.4388
     809      15.3914      26.2052
     810      15.4392      26.3369
     811      15.4654      26.8117
     812      15.4491      26.1647
     813      15.3542      26.3690
     814      15.3759      26.0195
     815      15.4664      26.2393
     816      15.3182      26.1340
     817      15.3898      26.3115
     818      15.4944      26.8685
     819      15.4903      26.7093
     820      15.4591      26.4539
     821      15.5217      26.4353
     822      15.5150      26.3482
     823      15.4643      26.5018
     824      15.4845      26.8843
     825      15.4263      26.6760
     826      15.4571      26.6908
     827      15.4193      26.3096
     828      15.3948      26.6999
     829      15.5053      26.8186
     830      15.4259      26.5185
     831      15.3758      26.6315
     832      15.4167      26.5262
     833      15.4074      26.6072
     834      15.3248      26.2976
     835      15.4274      26.9109
     836      15.4891      26.1835
     837      15.4654      26.1091
     838      15.4056      26.4517
     839      15.4653      26.1961
     840      15.3493      26.6077
     841      15.3879      26.6039
     842      15.3380      26.5725
     843      15.4035      26.3296
     844      15.3843      26.5895
     845      15.4933      26.4316
     846      15.4274      26.3221
     847      15.4189      26.3174
     848      15.3863      26.0296
     849      15.3742      26.3234
     850      15.4783      26.3432
     851      15.3946      26.5489
     852      15.3978      26.5066
     853      15.4050      26.4040
     854      15.4057      26.5866
     855      15.3876      26.3637
     856      15.3552      26.2734
     857      15.4388      26.2469
     858      15.4693      26.6467
     859      15.4220      26.7207
     860      15.3755      26.0963
     861      15.4477      26.3537
     862      15.3464      26.1427
     863      15.3831      26.1320
     864      15.4044      26.3698
     865      15.3292      26.1025
     866      15.3574      26.4944
     867      15.3808      25.6011
     868      15.3398      25.7650
     869      15.4202      26.5695
     870      15.4220      25.7812
     871      15.3755      25.8817
     872      15.3662      25.7718
     873      15.4557      25.7885
     874      15.4669      25.9311
     875      15.3786      26.0885
     876      15.4329      26.2283
     877      15.4270      25.9450
     878      15.4716      26.2876
     879      15.4304      26.0477
     880      15.3919      25.7401
     881      15.3834      25.9376
     882      15.4480      26.1332
     883      15.4024      26.4535
     884      15.4767      26.0380
     885      15.4437      25.9299
     886      15.4154      25.9608
     887      15.3857      25.8188
     888      15.4094      25.7414
     889      15.4188      26.3200
     890      15.4280      26.4407
     891      15.3406      25.4951
     892      15.3734      25.7139
