#Frame           COM1       ANGLE1
       1       6.0987      57.5982
       2       6.2238      65.6883
       3       6.9717      76.5842
       4       5.6943      64.6670
       5       5.8387      69.9409
       6       5.7934      56.7551
       7       6.5080     103.1192
       8       6.6691     101.8036
       9       6.0282     122.2494
      10       5.8470     105.0636
      11       6.2989      79.7679
      12       6.5036     108.5255
      13       6.2729      60.3286
      14       5.8715     132.4101
      15       5.8582      73.2407
      16       7.0778      62.8777
      17       6.6831      82.4224
      18       6.4235      70.0612
      19       7.0704      43.7751
      20       6.4147      60.4642
      21       6.1625      81.8423
      22       6.8953      80.0185
      23       6.0261      81.8916
      24       7.9271      63.4524
      25       6.6415      44.9399
      26       6.4409      50.2977
      27       7.1006      80.0331
      28       5.7972     128.8600
      29       6.0112     116.6225
      30       6.1433     154.3599
      31       6.6194      58.9025
      32       6.3178      85.5719
      33       6.1158     111.3816
      34       7.7341      33.5438
      35       6.7452      76.1963
      36       6.4203      59.7365
      37       7.0484      92.9012
      38       6.3433     108.7027
      39       6.8093      67.7919
      40       6.6540      68.0295
      41       5.8764      53.0777
      42       7.5303      88.5508
      43       6.4985      75.3165
      44       5.8097      21.9113
      45       6.6065      47.0420
      46       5.6085      48.2086
      47       6.6531      60.4514
      48       6.5785      72.6714
      49       6.4192      61.3032
      50       6.8228      65.8276
      51       6.7297      76.0817
      52       7.1997      45.3366
      53       6.1628     122.6610
      54       6.4513      77.4764
      55       6.4906      83.1314
      56       6.2858      58.3193
      57       5.7304     109.9348
      58       6.5434      38.1906
      59       6.6605      82.9596
      60       7.2072      62.1157
      61       6.1715     115.5291
      62       6.2979      75.4284
      63       5.9878     145.8329
      64       5.6472     118.7424
      65       6.7984      74.4092
      66       5.5560     153.6586
      67       6.2351      54.1009
      68       6.8711      92.9330
      69       6.5196     156.6027
      70       6.3163     137.8957
      71       6.5998      36.9062
      72       6.4422      27.6082
      73       5.5916     151.2103
      74       6.8318      71.6689
      75       5.3988      20.3105
      76       5.7839     109.5125
      77       6.8674      81.1925
      78       6.0757      70.4017
      79       6.4488      47.3183
      80       6.7677     139.1683
      81       5.3204      39.1338
      82       5.4010     155.4942
      83       6.5410     145.6161
      84       7.1700     101.1608
      85       6.3748     114.5904
      86       5.9663     130.5828
      87       6.8844      44.0674
      88       5.5836     159.4971
      89       6.2546     106.5365
      90       7.4944       7.9140
      91       7.0231      44.5256
      92       6.6395      54.3234
      93       6.7299      74.9244
      94       6.1621      50.7009
      95       5.8924      64.4213
      96       6.2919      57.9277
      97       6.7137      55.9368
      98       6.2712      70.4820
      99       6.1858      99.7854
     100       6.4087     110.4061
     101       5.7358      59.9242
     102       5.7212      68.4168
     103       6.0253      74.6230
     104       6.3715      90.5957
     105       6.1020      71.6701
     106       6.2230      64.3009
     107       6.0168     110.7895
     108       6.1517      54.4579
     109       5.7097      95.8846
     110       7.1685     109.9475
     111       6.7718      72.3749
     112       7.1674      72.4524
     113       6.4713      56.7049
     114       5.6106      67.9849
     115       5.7422     131.6359
     116       6.3062     111.5988
     117       6.3713     118.2070
     118       7.4427     100.6432
     119       7.0206      96.4485
     120       6.3895     161.4188
     121       7.1884      72.7894
     122       6.4850      60.4636
     123       6.3952     111.9048
     124       6.3037      74.1942
     125       5.6268     139.1592
     126       6.0173     103.6597
     127       6.6102      58.5512
     128       6.4115      58.3558
     129       5.5634     110.9110
     130       6.3172     106.2939
     131       5.6372     109.5789
     132       5.9181     149.0879
     133       6.1218      53.5068
     134       7.0133      68.5368
     135       6.9269      84.3133
     136       5.9528      99.6517
     137       6.5759      62.0613
     138       6.3592      45.2337
     139       6.3352      65.3091
     140       6.3020      81.0017
     141       6.3026      81.1148
     142       6.1022     116.3160
     143       5.6090     123.7036
     144       6.5389      66.0489
     145       6.0510     129.7511
     146       4.7055     109.1497
     147       5.3681      99.3760
     148       6.4560      93.1161
     149       5.9871     100.1109
     150       5.1441     109.4480
     151       7.0958      27.1563
     152       7.1302      48.4786
     153       6.0224      80.1111
     154       4.8253      86.4126
     155       6.2286      63.8423
     156       5.9213      59.2441
     157       5.2725      78.2873
     158       6.0494     148.9871
     159       5.1054     136.4603
     160       6.5362      59.7266
     161       6.2282      75.5086
     162       6.5786      61.9663
     163       5.9413      71.2322
     164       6.5876      97.3143
     165       6.7012      96.2082
     166       6.1052      69.8046
     167       6.0018     106.7350
     168       6.6802     132.5296
     169       6.2636     118.6534
     170       6.5354      94.3751
     171       6.5282      86.4512
     172       6.4679     104.1244
     173       6.3385      61.3312
     174       6.7737      59.6654
     175       6.4854     109.0422
     176       6.8376      88.0972
     177       6.0656      52.7646
     178       5.3358     129.7943
     179       8.1758     115.8943
     180       6.6867      59.8776
     181       6.3532      72.4189
     182       6.6039      74.6785
     183       6.4079     103.6919
     184       5.1991      29.1388
     185       6.2503      40.1472
     186       7.4222      42.2268
     187       6.4136     113.4577
     188       7.8304      52.6705
     189       5.7583     120.7314
     190       8.6323     145.3158
     191       6.5036      62.2411
     192       5.9130     126.1987
     193       6.1084     135.5177
     194       7.6821     112.9109
     195       5.9833     109.6594
     196       5.8673     114.6585
     197       7.3778      56.5963
     198       6.5648      68.0134
     199       5.6991      52.7614
     200       8.2237      65.4861
     201       5.6082      66.3015
     202       6.4940      56.5466
     203       6.6961     147.8964
     204       6.2950      89.9594
     205       6.8426      36.0490
     206       6.6707      65.5501
     207       6.8677      71.6245
     208       6.3048      56.9618
     209       6.2316      58.7491
     210       6.0901     128.7592
     211       7.1770      89.6836
     212       5.9333     122.7492
     213       6.1071     116.4267
     214       7.2376     151.0971
     215       6.4610     119.9146
     216       6.4384     112.2334
     217       5.2341     128.0781
     218       7.1411     106.2403
     219       6.6784     152.7915
     220       5.7454      57.1935
     221       7.2561      49.7799
     222       6.4955      58.7344
     223       6.1194     107.8661
     224       6.1111      71.3728
     225       5.6368      62.7131
     226       5.7504      45.1737
     227       6.2136      75.0316
     228       5.9955     136.0644
     229       6.3593      63.7448
     230       5.9479     121.3028
     231       5.8805      74.8715
     232       6.0772      59.2124
     233       5.9375     110.9699
     234       6.9588      82.5974
     235       6.1206      73.7956
     236       6.4165      55.0767
     237       6.1080     109.1260
     238       5.7706     124.8260
     239       6.0608      62.0934
     240       5.6203      37.6917
     241       5.6544     112.2650
     242       5.9509     121.0319
     243       6.3045     138.6311
     244       5.8863      64.4326
     245       5.6667     121.6355
     246       5.5915     158.7234
     247       6.0737      63.2342
     248       6.2591     113.0318
     249       6.7782     101.6265
     250       6.4996     113.2687
     251       7.0968     103.3859
     252       7.0458      67.6045
     253       6.5261     138.0446
     254       6.2544     106.6647
     255       6.1669     125.4940
     256       6.3501     120.5302
     257       6.8280      92.4838
     258       6.7141     134.6758
     259       7.0684      84.3730
     260       6.1181     116.4914
     261       6.1787     123.2495
     262       6.0203      53.6068
     263       5.3533      16.0872
     264       6.7485      81.4324
     265       6.0766     120.0259
     266       5.7412      61.7301
     267       5.3967     138.1354
     268       6.0837      74.4404
     269       5.5913      57.9609
     270       6.4222      86.2938
     271       6.3572     113.7978
     272       6.1344     114.7541
     273       6.2583     111.3681
     274       6.3183      51.2951
     275       5.3177      35.9086
     276       5.8654     104.2336
     277       6.2394     108.0776
     278       6.2703      67.4444
     279       6.6564      62.2610
     280       5.9705     100.5360
     281       7.4310      47.3925
     282       6.6850      94.2965
     283       6.5780      73.7364
     284       6.4797      90.3832
     285       6.3986      34.5555
     286       6.1449      66.0830
     287       6.2111      58.7555
     288       5.7654     103.5828
     289       6.0148      18.2604
     290       5.5842     131.0221
     291       5.8915      77.6962
     292       7.0292      14.8283
     293       6.2762     145.4687
     294       6.2904     134.2076
     295       6.0135     129.2955
     296       5.0677      19.9421
     297       5.2262      56.4312
     298       6.7194      98.4560
     299       5.3962     138.3632
     300       6.7579      82.5991
     301       6.4996     138.0161
     302       6.6630     102.1825
     303       6.9106     119.5394
     304       6.4753     112.4235
     305       5.3888      38.0535
     306       6.4085     120.1955
     307       6.6294      89.0592
     308       5.1009      21.3758
     309       6.4138     111.0739
     310       5.9137     122.5431
     311       6.3058      90.0980
     312       6.4438     102.9698
     313       6.5435     160.8893
     314       7.4143      43.3689
     315       6.3096      53.1627
     316       6.0442      79.6215
     317       6.9183      60.4035
     318       7.0928     158.5500
     319       7.0935      54.2175
     320       7.2544      55.1517
     321       6.5706     144.8819
     322       6.9296      35.8300
     323       6.2237      62.4107
     324       6.6857     117.8196
     325       6.2469      71.7409
     326       5.9930     112.3470
     327       5.7977      46.5165
     328       6.2481     131.3532
     329       6.4277      84.8817
     330       5.6823      38.7072
     331       5.9865     112.2554
     332       5.6507     118.4954
     333       6.3575     101.8890
     334       6.4849      97.7893
     335       6.3694      22.6776
     336       5.8232      43.6586
     337       5.8767      61.6139
     338       6.2803      50.5079
     339       6.2831      70.1202
     340       6.2095      65.9647
     341       5.5982     107.9443
     342       6.5354      81.0663
     343       6.1700     129.4843
     344       6.1757      92.3522
     345       6.2551     111.0892
     346       6.1351     114.5412
     347       6.9266      81.8119
     348       6.2932      69.7020
     349       7.2725      97.2080
     350       6.6092      94.1418
     351       6.7430     107.3711
     352       6.3246     118.6841
     353       5.7618     107.4921
     354       6.4833     104.4951
     355       6.3688      99.6466
     356       7.1311      77.6305
     357       6.1005      49.1940
     358       6.2220      65.5780
     359       6.1071     110.8249
     360       5.8827      53.5545
     361       6.4687      69.3021
     362       6.8293      30.6805
     363       6.3303      47.0432
     364       7.7184      91.6775
     365       6.6020      78.7840
     366       7.6308      33.8996
     367       7.2140      63.0747
     368       6.6124      78.9585
     369       6.5771      69.1924
     370       7.0707      69.4475
     371       8.4548     133.2940
     372       6.3971      75.9620
     373       5.8325     117.5763
     374       6.8675     108.0588
     375       6.2202     135.0069
     376       7.0994     153.9786
     377       6.0601     129.2100
     378       8.6569      30.5925
     379       9.1607     133.0697
     380       8.9230     113.3143
     381       7.9685      18.8748
     382       6.7402      72.3296
     383       9.6576      64.5769
     384       7.1561      91.1212
     385       8.4783     136.7622
     386       7.2163      78.4868
     387       7.1459      69.7634
     388       6.4214      65.5115
     389       6.2725     114.3832
     390       6.0780     107.5338
     391       9.7230     142.8878
     392       5.9048      44.7911
     393       7.0281      98.8054
     394       6.5153     104.6061
     395       6.4855      45.3809
     396       5.5315      36.4671
     397       6.1991     132.1507
     398       6.7262      51.5625
     399       6.3625      70.6839
     400       5.8978     101.5733
     401       5.7597      80.1652
     402       5.5286      70.9147
     403       5.8559      53.4919
     404       5.9215     105.2052
     405       6.7823     103.7611
     406       6.6893      66.7698
     407       6.9556     130.1876
     408       6.1175      60.9490
     409       6.0542     129.5483
     410       6.3281     126.4961
     411       7.2319      68.0225
     412       6.4246      64.6956
     413       6.4026      50.5779
     414       6.1747     101.1697
     415       6.5639     104.1587
     416       6.2204      56.0421
     417       6.5464      72.2157
     418       6.3835      71.7211
     419       5.8200      49.1634
     420       5.7052      42.9242
     421       6.9967      65.9448
     422       6.5806      69.9431
     423       7.0183      74.6023
     424       6.9061      79.3194
     425       5.9652      59.6509
     426       5.8752     122.7350
     427       6.6472      90.6307
     428       5.7563      48.8605
     429       5.7696     117.6327
     430       6.4037      49.8191
     431       6.0465      59.6386
     432       6.6883     109.4242
     433       5.9647      47.4369
     434       6.3050      83.9355
     435       6.1435     123.6297
     436       5.7625      73.0757
     437       6.7128      51.2113
     438       6.5681      66.0727
     439       5.6726      55.2601
     440       6.2494     100.3408
     441       5.3908     131.0588
     442       7.5344      62.6448
