#Frame           COM1       ANGLE1
       1       3.7039      19.0909
       2       4.0891      12.3720
       3       3.8433      11.1129
       4       4.1646       7.6422
       5       4.0655      18.9182
       6       3.8257      15.0562
       7       3.7247      12.3117
       8       3.7114       4.3498
       9       4.1327       5.2860
      10       4.3984      18.8928
      11       4.2329      10.1755
      12       4.0294      16.4423
      13       3.6490       8.7193
      14       3.8077      13.3713
      15       3.7683      11.5524
      16       4.0467      11.2660
      17       4.1571       9.4017
      18       4.1676       8.0460
      19       4.1575      26.8002
      20       4.0582      16.3107
      21       4.1524       5.8179
      22       3.8773      12.8862
      23       3.8860      15.4825
      24       3.8175       6.4727
      25       3.4959       6.8081
      26       4.0131      19.6800
      27       3.9697       4.5163
      28       3.5243      11.5693
      29       3.7480      20.8169
      30       4.4072      12.3051
      31       4.0001      14.9004
      32       4.0716      17.9874
      33       3.9621      26.5866
      34       3.7023      20.6090
      35       3.7502       5.5508
      36       3.6563      24.7799
      37       4.0110      14.3095
      38       3.9634       9.1339
      39       3.7903      18.5083
      40       3.9334      10.2723
      41       4.0915      19.9047
      42       4.1604      13.8042
      43       3.8881      12.6755
      44       4.3405      13.8279
      45       3.7364      22.3749
      46       3.4403       8.9308
      47       3.8550       4.2293
      48       3.9533       7.8117
      49       4.1096      21.9593
      50       3.9243      14.9392
      51       4.1214      18.6482
      52       3.7539      10.7814
      53       3.8765      28.0568
      54       4.2913      11.2861
      55       3.6765      20.9578
      56       3.5017      23.0858
      57       4.0281      18.5858
      58       4.0558       8.7949
      59       3.6496      14.9452
      60       3.7223      21.3929
      61       3.7353       7.3769
      62       3.6921       3.7465
      63       3.8693       9.5779
      64       4.2279       5.0493
      65       4.3843      20.5354
      66       3.9661       4.2216
      67       3.7937       3.0062
      68       3.7038      25.4502
      69       4.3421      16.6099
      70       3.8964      11.2855
      71       3.9484      28.4200
      72       4.1372      34.3660
      73       4.1252      18.0168
      74       3.7822      18.9758
      75       3.9889      22.6812
      76       3.8727      16.1709
      77       4.0757      29.3916
      78       3.5730      19.9029
      79       3.8915      18.4983
      80       3.7357       9.3211
      81       3.7141       3.9713
      82       3.8885      12.0953
      83       4.0704      11.5061
      84       3.8426       4.7001
      85       3.8976      12.8045
      86       4.0559      12.9294
      87       4.1514      27.5528
      88       4.7167      27.4135
      89       3.7243       4.9558
      90       4.1220      12.6471
      91       4.1593      11.9186
      92       4.0905      10.7446
      93       3.7854      15.7891
      94       3.9311      16.0792
      95       3.9054      20.2579
      96       3.5870      11.7963
      97       4.1402      18.9085
      98       3.7244       7.4152
      99       3.8913       4.9734
     100       3.6821       9.9948
     101       3.6623      10.6245
     102       3.5792       6.2813
     103       3.5970      15.7017
     104       3.7505      16.1675
     105       4.3580      25.6478
     106       3.7465      18.9463
     107       3.6755       1.2007
     108       3.8912      16.3754
     109       3.6403      14.9464
     110       3.9807      15.9210
     111       4.3370       9.9239
     112       4.3083      12.6782
     113       3.7722      11.9109
     114       3.9170      24.1341
     115       4.0726      12.2318
     116       4.1280       4.7604
     117       3.9250      11.3355
     118       3.8101      31.0104
     119       3.9501      12.4175
     120       3.9967      13.5276
     121       3.8372      20.8106
     122       3.9551      31.4858
     123       3.7729      21.1222
     124       3.9456      16.1243
     125       3.7414      24.8276
     126       3.8617      17.0524
     127       3.9964      25.9722
     128       3.7417      19.3527
     129       3.9903      32.4181
     130       4.1045      12.9289
     131       3.6731      20.1320
     132       3.9385      19.6569
     133       3.6866      25.3368
     134       3.7673      11.8114
     135       3.7155      18.7793
     136       3.5799      14.0417
     137       3.8750      16.8076
     138       3.7116      16.7844
     139       3.8993      18.3992
     140       3.8056      14.8731
     141       3.6644      19.9315
     142       3.9206      25.1278
     143       4.1137      16.4392
     144       3.9225      14.0560
     145       4.0141      18.2437
     146       3.6274      28.4049
     147       3.9189      20.2972
     148       3.4977      10.4263
     149       3.9092      18.1391
     150       3.6601      13.9145
     151       3.5579       9.7572
     152       3.9178       2.8556
     153       4.3360      10.3917
     154       3.6121      24.6002
     155       3.6279      16.7346
     156       4.0000      18.4269
     157       3.7493      20.5316
     158       3.7322      14.6306
     159       4.0037      25.0070
     160       3.9349      30.1009
     161       3.7941      15.8658
     162       4.0523      15.4685
     163       4.3986      15.0400
     164       3.5661      11.2735
     165       3.8180      33.9477
     166       3.8776      11.0238
     167       3.9943      15.9778
     168       3.7765      33.5584
     169       4.3077      28.4069
     170       3.5065      15.9111
     171       3.9963      20.7727
     172       4.1026      20.7062
     173       3.9241       7.5372
     174       3.6764      12.0989
     175       3.8528      14.5700
     176       3.7686      17.3848
     177       3.5790      18.4543
     178       4.1351       7.8982
     179       3.5863      23.1194
     180       3.8492       3.8209
     181       3.7223      10.5664
     182       3.9074      14.3430
     183       4.1197      16.9049
     184       3.8846      15.8563
     185       4.0910      17.4223
     186       3.9179      17.9609
     187       4.0400      37.1223
     188       3.9276      18.4632
     189       3.9375      12.2080
     190       3.7540      11.9894
     191       3.8985      17.6126
     192       4.0394       8.7963
     193       3.6862       9.1599
     194       3.7314       5.0452
     195       4.0820      21.7611
     196       4.1941       6.4476
     197       3.8721      12.0209
     198       3.8204      24.8399
     199       3.7841      25.7340
     200       3.8805      11.8729
     201       4.3853       1.3027
     202       3.9673      14.8166
     203       4.0203      16.0709
     204       3.6670      10.8427
     205       3.9345      20.4545
     206       3.8783       2.0252
     207       4.1428      21.4715
     208       4.1910      15.3883
     209       4.1835      15.1794
     210       4.2376      20.1369
     211       4.1071      11.7218
     212       3.8059      19.9434
     213       3.7652      18.3962
     214       3.7588       9.2947
     215       3.7098      30.4345
     216       3.8042      11.2250
     217       3.5737      19.0284
     218       3.8493      15.5702
     219       3.5223      18.9821
     220       4.0117       1.7193
     221       4.1258      14.0242
     222       3.7268      28.7875
     223       4.4945       1.8255
     224       3.9440       6.2774
     225       3.9442       8.3524
     226       4.0166      13.4486
     227       4.1027      16.7617
     228       4.0581      21.1129
     229       3.9039      18.9578
     230       3.7647      25.7629
     231       3.6607       8.4148
     232       3.9008       4.6099
     233       3.7302      15.9677
     234       4.5150      15.3502
     235       4.1220      18.4455
     236       3.9843       8.2365
     237       4.0233       6.2067
     238       3.9594       3.5984
     239       3.9106      20.8602
     240       3.9913      11.3288
     241       3.8434       6.7021
     242       3.7748       6.9393
     243       3.8852       9.7362
     244       4.0324       9.0438
     245       4.0882      10.1142
     246       4.5987       4.1113
     247       4.5678      59.2098
     248       4.1366      11.9143
     249       4.3416      50.7886
     250       3.6570      12.3963
     251       3.6293       2.5057
     252       4.1259       8.8703
     253       4.0060      10.6399
     254       3.9987      22.6058
     255       3.5094       2.7917
     256       4.0058      24.4971
     257       4.1179      19.3785
     258       3.7238      24.5900
     259       4.0298      32.5557
     260       3.6257      19.3393
     261       3.7031      22.6549
     262       4.5935      23.1694
     263       3.8143      15.2132
     264       3.7252      13.0720
     265       3.8450      13.6083
     266       4.7813      16.3546
     267       4.3081      23.8404
     268       4.3839      10.8731
     269       3.9327      18.4698
     270       4.5749      21.9924
     271       4.6017      13.6064
     272       3.4195       5.1114
     273       3.6917       2.1747
     274       3.6712      11.0832
     275       3.9441      18.2731
     276       3.9304      20.0135
     277       4.0561      15.9767
     278       3.8523       8.4513
     279       3.8819       6.0157
     280       3.9083      20.2838
     281       4.1811      22.3362
     282       4.1035      10.7166
     283       3.5573      12.2158
     284       3.7815      19.9421
     285       3.7458      23.4366
     286       4.5624       5.5736
     287       3.7683      24.0561
     288       4.1754      17.3168
     289       3.7395      22.1977
     290       3.6643      18.8079
     291       3.8442      12.6743
     292       3.9292      34.0264
     293       3.9765      12.6705
     294       4.0236      22.6604
     295       4.3055       0.7800
     296       3.8011      13.3100
     297       3.7809      24.8495
     298       3.9865      18.4503
     299       3.7304      17.4526
     300       3.8467      21.0684
     301       3.9559      30.1774
     302       3.9556      17.2617
     303       3.7181      17.5720
     304       3.6729      12.1171
     305       4.2249      26.9568
     306       3.3935      15.0607
     307       4.1152       3.7570
     308       3.7600       9.0490
     309       3.9652       2.2709
     310       3.4028       7.6221
     311       3.6156      28.0175
     312       4.3487      12.9148
     313       4.2281      23.9093
     314       4.2014      21.9615
     315       4.3390      39.1001
     316       4.0430      20.6125
     317       3.6419      16.2481
     318       3.8818      18.3059
     319       3.8520       4.3511
     320       4.2548      13.6604
     321       3.9231      17.6345
     322       4.0500      15.1929
     323       4.0693      13.2735
     324       3.6887      18.8517
     325       3.6661      13.4783
     326       3.6686      11.4043
     327       4.3193      18.1318
     328       4.0358      16.9746
     329       4.0562       7.1581
     330       4.1518      26.0899
     331       3.9077      12.1234
     332       3.9230       5.9610
     333       4.1209      15.9965
     334       4.0956       9.3636
     335       4.4466      17.8216
     336       4.2351      12.9364
     337       4.0967       9.3398
     338       3.9427      16.6574
     339       4.3370      16.3353
     340       4.3153       6.2191
     341       4.3626       9.3632
     342       4.4309       5.8560
     343       3.8688      20.4724
     344       3.9171      16.6804
     345       3.8308       3.9571
     346       3.7967      12.6929
     347       3.9450      19.3873
     348       4.0007       8.3662
     349       3.7875       8.3410
     350       3.7752       7.6228
     351       4.2148      19.3582
     352       4.4773      16.7022
     353       4.1895      22.6890
     354       4.2439      24.6956
     355       4.4924      15.2685
     356       4.0590      17.2607
     357       4.0606      11.0727
     358       4.0660      17.6548
     359       4.2204       9.5596
     360       3.9657      13.8476
     361       3.5786      14.2377
     362       4.1702      31.9030
     363       4.1897      28.2857
     364       3.7177       3.1775
     365       4.2060       5.3463
     366       3.7548      19.4987
     367       4.0216      14.6608
     368       4.3853      15.8199
     369       4.1161      11.3998
     370       3.8879      12.6491
     371       3.8999       6.7057
     372       4.3677      20.6934
     373       3.8395      19.6645
     374       3.7025      10.5278
     375       4.4112      34.2670
     376       3.6135       7.4253
     377       3.4152       7.2434
     378       4.0270      20.9615
     379       4.0432      20.4803
     380       4.5109      35.5472
     381       4.3640      21.1596
     382       4.0506       5.8555
     383       3.9904      11.2397
     384       3.5921      19.7243
     385       3.7111      24.8919
     386       4.0384      17.1980
     387       4.0545       3.5678
     388       3.9125      13.2026
     389       3.6783      11.6151
     390       4.0266      14.6272
     391       4.2809      24.2063
     392       4.6005       7.2876
     393       3.7212       6.6926
     394       3.7402      19.1242
     395       3.8551      11.6699
     396       4.2114      20.1971
     397       3.9745      21.5447
     398       3.9820       6.9963
     399       4.1011       6.7491
     400       4.3968      12.8105
     401       3.7518       3.1660
     402       4.3321      23.1355
     403       4.1585      24.3256
     404       4.5830      15.8530
     405       4.1836       6.3284
     406       3.8638      17.4538
     407       3.9103      12.9127
     408       4.0679      29.4407
     409       4.2505      20.3129
     410       4.0826      10.2581
     411       4.3145      20.4288
     412       4.1609      26.2400
     413       4.1851       6.1856
     414       3.8979      20.4959
     415       4.3097      15.9019
     416       4.4173      16.9395
     417       3.8579      10.0006
     418       4.1823      17.1666
     419       4.4993       9.9390
     420       4.4051      12.7495
     421       3.5955      11.9465
     422       4.4223       4.8028
     423       4.2940      13.6256
     424       4.3817       4.3585
     425       3.8163      20.3976
     426       3.8614      16.4588
     427       3.5622      11.1326
     428       3.7720      21.5508
     429       3.5560       9.0828
     430       3.9101      10.7758
     431       3.6668      19.1980
     432       4.0944      30.6146
     433       4.0305      21.3483
     434       3.7469      19.1773
     435       4.1637      15.7898
     436       4.0454      23.2107
     437       3.8508       3.9037
     438       3.5723      15.4817
     439       3.8985      24.5271
     440       3.6862      26.3122
     441       3.6946      12.8649
     442       4.4937      19.6544
     443       3.7418      17.4302
     444       3.8952      32.9959
     445       3.8044      14.9529
